A	PROTO-CUNEIFORM SIGN A
|A×AB₂|	PROTO-CUNEIFORM SIGN A TIMES AB2
|A×AN|	PROTO-CUNEIFORM SIGN A TIMES AN
|A×EN~a~v2|	PROTO-CUNEIFORM SIGN A TIMES EN-A VARIANT 2
|A×1(N14)|	PROTO-CUNEIFORM SIGN A TIMES ONE-N14
|A×ŠUBUR|	PROTO-CUNEIFORM SIGN A TIMES SHUBUR
|A×ZATU672|	PROTO-CUNEIFORM SIGN A TIMES ZATU672
A@g	PROTO-CUNEIFORM SIGN A GUNU
A@t	PROTO-CUNEIFORM SIGN A TENU
A₂	PROTO-CUNEIFORM SIGN A2
AB~a	PROTO-CUNEIFORM SIGN AB-A
AB~a~v1	PROTO-CUNEIFORM SIGN AB-A VARIANT 1
AB~b	PROTO-CUNEIFORM SIGN AB-B
|AB~b×A|	PROTO-CUNEIFORM SIGN AB-B TIMES A
|AB~a×A@t|	PROTO-CUNEIFORM SIGN AB-A TIMES A TENU
|AB~a×AŠ₂|	PROTO-CUNEIFORM SIGN AB-A TIMES ASH2
|AB~a×KU₆~a|	PROTO-CUNEIFORM SIGN AB-A TIMES KU6-A
|AB~b×KU₆~a|	PROTO-CUNEIFORM SIGN AB-B TIMES KU6-A
|AB~a×1(N01)|	PROTO-CUNEIFORM SIGN AB-A TIMES ONE-N1
|AB~a×SUKKAL|	PROTO-CUNEIFORM SIGN AB-A TIMES SUKKAL
|AB~b×ŠA₃~a1|	PROTO-CUNEIFORM SIGN AB-B TIMES SHA3-A1
|AB~a×(ŠE~a&ŠE~a)|	PROTO-CUNEIFORM SIGN AB-A TIMES SHE-A OVER SHE-A
|AB~a×X|	PROTO-CUNEIFORM SIGN AB-A TIMES X
|AB~a×ZATU659|	PROTO-CUNEIFORM SIGN AB-A TIMES ZATU659
AB~a@g	PROTO-CUNEIFORM SIGN AB-A GUNU
AB₂	PROTO-CUNEIFORM SIGN AB2
AB₂~v1	PROTO-CUNEIFORM SIGN AB2 VARIANT 1
|AB₂×2(N14)|	PROTO-CUNEIFORM SIGN AB2 TIMES TWO-N14
|AB₂~v1×2(N14)|	PROTO-CUNEIFORM SIGN AB2 VARIANT 1 TIMES TWO-N14
ABGAL	PROTO-CUNEIFORM SIGN ABGAL
ABGAL~v1	PROTO-CUNEIFORM SIGN ABGAL VARIANT 1
ABRIG	PROTO-CUNEIFORM SIGN ABRIG
ABZU	PROTO-CUNEIFORM SIGN ABZU
AD~a	PROTO-CUNEIFORM SIGN AD-A
AD~b	PROTO-CUNEIFORM SIGN AD-B
AD~c	PROTO-CUNEIFORM SIGN AD-C
ADAB	PROTO-CUNEIFORM SIGN ADAB
ADDA	PROTO-CUNEIFORM SIGN ADDA
ADDA@t	PROTO-CUNEIFORM SIGN ADDA TENU
AGAR₂	PROTO-CUNEIFORM SIGN AGAR2
AK~a	PROTO-CUNEIFORM SIGN AK-A
AK~b	PROTO-CUNEIFORM SIGN AK-B
AL	PROTO-CUNEIFORM SIGN AL
ALAN~a	PROTO-CUNEIFORM SIGN ALAN-A
ALAN~b	PROTO-CUNEIFORM SIGN ALAN-B
ALAN~c	PROTO-CUNEIFORM SIGN ALAN-C
ALAN~d	PROTO-CUNEIFORM SIGN ALAN-D
ALAN~e	PROTO-CUNEIFORM SIGN ALAN-E
ALAN~f	PROTO-CUNEIFORM SIGN ALAN-F
ALIM	PROTO-CUNEIFORM SIGN ALIM
AM~a	PROTO-CUNEIFORM SIGN AM-A
AM~b	PROTO-CUNEIFORM SIGN AM-B
AMA~a	PROTO-CUNEIFORM SIGN AMA-A
AMA~a~v1	PROTO-CUNEIFORM SIGN AMA-A VARIANT 1
AMA~b	PROTO-CUNEIFORM SIGN AMA-B
|AMA~a×E₂~a|	PROTO-CUNEIFORM SIGN AMA-A TIMES E2-A
AMAR	PROTO-CUNEIFORM SIGN AMAR
AMAR~v1	PROTO-CUNEIFORM SIGN AMAR VARIANT 1
AMAR~v2	PROTO-CUNEIFORM SIGN AMAR VARIANT 2
|AMAR.1(N02)|	PROTO-CUNEIFORM SIGN AMAR BESIDE ONE-N2
|AMAR&AMAR|	PROTO-CUNEIFORM SIGN AMAR OVER AMAR
AMAR@g	PROTO-CUNEIFORM SIGN AMAR GUNU
|AMAR~v2×TAR~c|	PROTO-CUNEIFORM SIGN AMAR VARIANT 2 TIMES TAR-C
AN	PROTO-CUNEIFORM SIGN AN
AN~v1	PROTO-CUNEIFORM SIGN AN VARIANT 1
AN~v2	PROTO-CUNEIFORM SIGN AN VARIANT 2
ANŠE~a	PROTO-CUNEIFORM SIGN ANSHE-A
ANŠE~b	PROTO-CUNEIFORM SIGN ANSHE-B
ANŠE~c	PROTO-CUNEIFORM SIGN ANSHE-C
ANŠE~e	PROTO-CUNEIFORM SIGN ANSHE-E
ANZU₂	PROTO-CUNEIFORM SIGN ANZU2
APIN~a	PROTO-CUNEIFORM SIGN APIN-A
APIN~b	PROTO-CUNEIFORM SIGN APIN-B
APIN~c	PROTO-CUNEIFORM SIGN APIN-C
