id_text	designation	provenience	museum_no	excavation_no	accession_no	primary_publication	publication_history	genre	subgenre	period
P000001	CDLI Lexical 000002, ex. 065	Uruk (mod. Warka)	VAT 01533	W 06435,a		CDLI Lexical 000002, ex. 065	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 011, W 6435,a; ATU 1, 594	Lexical	Archaic Lu2 A (witness)	Uruk III
P000002	CDLI Lexical 000002, ex. 066	Uruk (mod. Warka)	VAT 15263	W 06435,b		CDLI Lexical 000002, ex. 066	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 011, W 6435,b; ATU 1, 595	Lexical	Archaic Lu2 A (witness)	Uruk III
P000003	ATU 3, pl. 081, W 9123,d	Uruk (mod. Warka)	VAT 15253	W 09123,d		ATU 3, pl. 081, W 9123,d	ATU 1, 539	Lexical	Archaic Vocabulary (witness)	Uruk IV
P000004	CDLI Lexical 000002, ex. 051	Uruk (mod. Warka)	VAT 15168	W 09169,d		CDLI Lexical 000002, ex. 051	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 009, W 9169,d; ATU 1, 489	Lexical	Archaic Lu2 A (witness)	Uruk IV
P000005	CDLI Lexical 000002, ex. 172	Uruk (mod. Warka)	VAT 15153	W 09206,k		CDLI Lexical 000002, ex. 172	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 023, W 9206,k; ATU 1, 390	Lexical	Archaic Lu2 A (witness)	Uruk IV
P000006	CDLI Lexical 000002, ex. 173	Uruk (mod. Warka)	VAT 15003	W 09656,h1		CDLI Lexical 000002, ex. 173	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 023, W 9656,h1; ATU 1, 340; s. A. Vaiman, ActAnt. 22, 1974, 25; Frühe Schrift p. 153, no. 16.1; Woods, Christpher, OIMP 32 (2015) 074	Lexical	Archaic Lu2 A (witness)	Uruk IV
P000007	CDLI Lexical 000002, ex. 174	Uruk (mod. Warka)	VAT 15111	W 09656,x		CDLI Lexical 000002, ex. 174	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 023, W 9656,x; ATU 1, 522	Lexical	Archaic Lu2 A (witness)	Uruk IV
P000008	CDLI Lexical Archaic Unidentified, ex. 003	Uruk (mod. Warka)	VAT 17684	W 11985,e		CDLI Lexical Archaic Unidentified, ex. 003	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 085, W 11985,e	Lexical	Archaic Unidentified (witness)	Uruk III
P000009	CDLI Lexical 000002, ex. 160	Uruk (mod. Warka)	VAT 17702	W 11985,f		CDLI Lexical 000002, ex. 160	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 022, W 11985,f	Lexical	Archaic Lu2 A (witness)	Uruk III
P000010	CDLI Lexical 000007, ex. 006	Uruk (mod. Warka)	VAT 17709	W 11985,g		CDLI Lexical 000007, ex. 006	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 026, W 11985,g	Lexical	Archaic Officials (witness)	Uruk III
P000011	CDLI Lexical 000002, ex. 017 & 000026, ex. 054	Uruk (mod. Warka)	VAT 17685	W 11986,a		CDLI Lexical 000002, ex. 017 & 000026, ex. 054	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 004, W 11986,a	Lexical	Archaic Lu2 A (witness); Archaic Metal (witness)	Uruk III
P000012	CDLI Lexical 000002, ex. 136	Uruk (mod. Warka)	VAT 17619	W 11986,c		CDLI Lexical 000002, ex. 136	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 019, W 11986,c	Lexical	Archaic Lu2 A (witness)	Uruk III
P000013	CDLI Lexical Archaic Unidentified, ex. 004	Uruk (mod. Warka)	VAT 17729	W 11988,d		CDLI Lexical Archaic Unidentified, ex. 004	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 085, W 11988,d	Lexical	Archaic Unidentified (witness)	Uruk III
P000014	ATU 3, pl. 036, W 12139	Uruk (mod. Warka)	VAT 16773	W 12139		ATU 3, pl. 036, W 12139	UVB 6; R. Englund, Fs Boehmer (Mainz 1995) 130 fig. 6; R. Englund in J. Bauer, R. Englund and M. Krebernik, OBO 160/1 (Freiburg Switzerland 1998) 173 fig. 63	Lexical	Archaic Pigs (witness)	Uruk III
P000015	CDLI Lexical 000023, ex. 091	Uruk (mod. Warka)	VAT 17858 + VAT 17886	W 12256,i + W 12256,k + W 12256,l + W 12256,o		CDLI Lexical 000023, ex. 091	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 066, W 12256,i+; ATU 2, plate 46	Lexical	Archaic Vessels & Garments (witness)	Uruk III
P000019	CDLI Lexical 000002, ex. 038	Uruk (mod. Warka)	VAT 17630	W 13662,c1		CDLI Lexical 000002, ex. 038	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 007, W 13662,c1	Lexical	Archaic Lu2 A (witness)	Uruk III
P000020	CDLI Lexical Archaic Unidentified, ex. 005	Uruk (mod. Warka)	VAT 17699	W 13662,v1		CDLI Lexical Archaic Unidentified, ex. 005	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 085, W 13662,v1	Lexical	Archaic Unidentified (witness)	Uruk III
P000021	ATU 3, pl. 080, W 13948	Uruk (mod. Warka)	VAT 16972	W 13948		ATU 3, pl. 080, W 13948		Lexical	Archaic Vocabulary (witness)	Uruk III
P000022	ATU 3, pl. 082, W 13982	Uruk (mod. Warka)	VAT 16741	W 13982		ATU 3, pl. 082, W 13982	Frühe Schrift p. 148, no. 15.4; R. Englund in J. Bauer, R. Englund and M. Krebernik, OBO 160/1 (Freiburg Switzerland 1998) 85 fig. 23 (false as BM 128990); Woods, Christpher, OIMP 32 (2015) 042 & 075	Lexical	Archaic Practice (witness)	Uruk III
P000023	ATU 3, pl. 080, W 14264	Uruk (mod. Warka)	VAT 16759	W 14264		ATU 3, pl. 080, W 14264		Lexical	Archaic Vocabulary (witness)	Uruk III
P000024	CDLI Lexical Archaic Unidentified, ex. 006	Uruk (mod. Warka)	VAT 17588	W 14335,c		CDLI Lexical Archaic Unidentified, ex. 006	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 085, W 14335,c	Lexical	Archaic Unidentified (witness)	Uruk III
P000025	ATU 3, pl. 080, W 14337,a+	Uruk (mod. Warka)	VAT 16912	W 14337,a + W 14337,b + W 14337,c + W 14337,d + W 14337,e		ATU 3, pl. 080, W 14337,a+	ATU 2, pl. 049	Lexical	Archaic Vocabulary (witness)	Uruk III
P000030	CDLI Lexical 000002, ex. 018	Uruk (mod. Warka)	VA — ?	W 14497		CDLI Lexical 000002, ex. 018	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 004, W 14497	Lexical	Archaic Lu2 A (witness)	Uruk III
P000031	CDLI Lexical 000002, ex. 078	Uruk (mod. Warka)	VA — ?	W 14551,a + W 14551,b ?		CDLI Lexical 000002, ex. 078	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 013, W 14551,a+	Lexical	Archaic Lu2 A (witness)	Uruk III
P000033	CDLI Lexical 000002, ex. 151	Uruk (mod. Warka)	VA — ?	W 14638		CDLI Lexical 000002, ex. 151	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 021, W 14638	Lexical	Archaic Lu2 A (witness)	Uruk III
P000034	CDLI Lexical Archaic Unidentified, ex. 007	Uruk (mod. Warka)	VA — ?	W 14731,x		CDLI Lexical Archaic Unidentified, ex. 007	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 085, W 14731,x	Lexical	Archaic Unidentified (witness)	Uruk III
P000035	CDLI Lexical 000013, ex. 008	Uruk (mod. Warka)	VAT 16828	W 14777,b		CDLI Lexical 000013, ex. 008	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 032, W 14777,b	Lexical	Archaic Fish (witness)	Uruk III
P000036	CDLI Lexical 000028, ex. 01	Uruk (mod. Warka)	VAT 16945	W 15085		CDLI Lexical 000028, ex. 01	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 075, W 15085, 	Lexical	Archaic Grain (witness)	Uruk III
P000037	CDLI Lexical Archaic Unidentified, ex. 008	Uruk (mod. Warka)	VAT 16902	W 15772,l		CDLI Lexical Archaic Unidentified, ex. 008	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 085, W 15772,l	Lexical	Archaic Unidentified (witness)	Uruk III
P000038	CDLI Lexical Archaic Unidentified, ex. 009	Uruk (mod. Warka)	IM 023436,14	W 15773,c		CDLI Lexical Archaic Unidentified, ex. 009	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 085, W 15773,c	Lexical	Archaic Unidentified (witness)	Uruk III
P000039	CDLI Lexical Archaic Unidentified, ex. 010	Uruk (mod. Warka)	IM 023436,04	W 15773,q		CDLI Lexical Archaic Unidentified, ex. 010	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 085, W 15773,q	Lexical	Archaic Unidentified (witness)	Uruk III
P000040	CDLI Lexical Archaic Unidentified, ex. 011	Uruk (mod. Warka)	IM 023436,06	W 15773,t		CDLI Lexical Archaic Unidentified, ex. 011	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 085, W 15773,t	Lexical	Archaic Unidentified (witness)	Uruk III
P000041	CDLI Lexical Archaic Unidentified, ex. 012	Uruk (mod. Warka)	VAT 17662	W 15774,q		CDLI Lexical Archaic Unidentified, ex. 012	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 085, W 15774,q	Lexical	Archaic Unidentified (witness)	Uruk III
P000042	CDLI Lexical 000022, ex. 001	Uruk (mod. Warka)	VAT 17590	W 15774,w		CDLI Lexical 000022, ex. 001	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 037, W 15774,w	Lexical	Archaic Wood (witness)	Uruk III
P000043	CDLI Lexical Archaic Unidentified, ex. 013	Uruk (mod. Warka)	IM 023438,5 + VAT 16976	W 15775,f + W 15775,ae		CDLI Lexical Archaic Unidentified, ex. 013	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 085, W 15775,f+	Lexical	Archaic Unidentified (witness)	Uruk III
P000045	CDLI Lexical 000007, ex. 007	Uruk (mod. Warka)	IM 023438,6	W 15775,af		CDLI Lexical 000007, ex. 007	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 026, W 15775,af	Lexical	Archaic Officials (witness)	Uruk III
P000046	CDLI Lexical 000002, ex. 032	Uruk (mod. Warka)	IM 023439,07	W 15825,a7		CDLI Lexical 000002, ex. 032	Englund, Robert K. & Nissen, Hans J., ATU 3 (1993) pl. 006, W 15825,a7	Lexical	Archaic Lu2 A (witness)	Uruk III
