𒚐	A~1
󳂙	DIM~a~2
󲱱	|DIM~a×GU|~1
󲱲	|DIM~a×X|~1
𒝉	DIM~b~1
𒝊	DIM~c~1
𒝋	DIN~1
󳀰	|DIN×1(N58)|~1
𒝌	DIN@t~1
𒝍	DU~1
𒝎	|DU×1(N58@t)|~1
𒝏	DU@g~1
𒝑	DU₆~a~1
𒝐	DU₆~a~2
󳂯	DU₆~a~3
󳂚	DU₆~a~4
𒝒	|DU₆~a×1(N58)|~1
󳂉	DU₆~a@n~1
𒝓	DU₆~b~1
𒝔	DU₆~c~1
𒝕	DU₇~1
𒝖	DU₈~a~1
𒝗	DU₈~b~1
𒝘	DU₈~b~2
𒝙	DU₈~c~1
󳀱	|DU₈~c×AB₂|~1
󳀲	|DU₈~c×AMAR|~1
𒝚	|DU₈~c×HI|~1
𒝛	|DU₈~c×UDU~a|~1
𒝜	|DU₈~c×X|~1
𒝝	DU₈~c@g~1
𒝞	DU₈~c@g~2
𒝟	DUB~a~1
𒝡	DUB~b~1
𒝠	DUB~b~2
𒝣	DUB~b~3
𒝢	DUB~b~4
𒝤	DUB~b~5
󳁓	DUB~b@r~1
𒝥	DUB~c~1
𒝦	DUB~d~1
𒝧	DUB~e~1
𒝨	DUB~f~1
󳀳	DUB~h~1
𒝩	|(DUB@n~a×1(N58))~a|~1
𒝪	|(DUB@n~a×1(N58))~b|~1
𒝫	|DUB@n~b×1(N58)~a|~1
𒝬	DUB₂~1
𒝶	DUG~a~1
𒝵	DUG~a~2
𒝭	DUG~a~3
󲱼	|DUG~a×HI|~1
𒝮	|DUG~a×KASKAL|~1
󳁪	|DUG~a×KU₆~a|~1
𒝯	|DUG~a×LAM~b|~1
𒝰	|DUG~a×NAGA~a|~1
𒝱	|DUG~a×U₂~a|~1
𒝲	|DUG~a×U₂~b|~1
󲲂	|DUG~a×X|~1
𒝳	|DUG~a×1(N57)|~1
𒞭	DUG~b~1
𒝷	DUG~b~2
𒞮	|DUG~b×AB₂|~1
𒝸	|DUG~b×ANŠE~b|~1
𒝹	|DUG~b×ANŠE~d|~1
𒝺	|DUG~b×BALA~a|~1
𒝻	|DUG~b×BIR₃~c|~1
𒞯	|DUG~b×DIN|~1
𒝼	|DUG~b×DIN|~2
𒝽	|(DUG~b×DIN)@r|~1
𒝾	|DUG~b×E~a|~1
𒝿	|DUG~b×GA~a|~1
𒞀	|DUG~b×GA~b|~1
𒞰	|DUG~b×GEŠTU~a|~1
𒞁	|DUG~b×GEŠTU~a|~2
𒞂	|DUG~b×GEŠTU~b|~1
𒞃	|DUG~b×GI₆|~1
𒞄	|DUG~b×GIŠ|~1
𒞱	|DUG~b×HI|~1
𒞅	|DUG~b×HI|~2
𒞲	|DUG~b×HI@g~a|~1
𒞆	|DUG~b×KASKAL|~1
𒞇	|DUG~b×KU₆~a|~1
𒞈	|DUG~b×KUR~a|~1
𒞉	|DUG~b×(KUR~a.X)|~1
𒞊	|DUG~b×KUR~b|~1
𒞋	|DUG~b×KUR@g~a|~1
𒞌	|DUG~b×LAM~a|~1
𒞳	|DUG~b×MAŠ|~1
𒞍	|DUG~b×MAŠ|~2
𒞎	|DUG~b×NAGA~a|~1
𒞏	|DUG~b×NAM₂|~1
𒞐	|DUG~b×(NI~a@g.ZATU779)|~1
𒞑	|DUG~b×SA~a|~1
󳁔	|DUG~b×(SA~a.GI)|~1
𒞒	|DUG~b×SI₄~a|~1
𒞓	|DUG~b×(SI₄~a.X)|~1
𒞔	|DUG~b×SIG₂~a1|~1
𒞕	|DUG~b×SIG₂~a2|~1
𒞖	|DUG~b×SIG₇|~1
𒞗	|DUG~b×SUHUR|~1
󳁕	|DUG~b×SUKUD~d|~1
𒞘	|DUG~b×ŠAH₂~a|~1
𒞴	|DUG~b×ŠE~a|~1
𒞵	|DUG~b×ŠE~a|~2
𒞙	|DUG~b×ŠE~a|~3
𒞚	|DUG~b×(ŠE~a.NAM₂)|~1
𒞛	|DUG~b×TAK₄~a|~1
𒞜	|DUG~b×(TAK₄~a.SA~a)|~1
𒞝	|DUG~b×(TAK₄~a.SAL)|~1
𒞞	|DUG~b×TI|~1
𒞟	|DUG~b×U₂~a|~1
𒞶	|DUG~b×U₂~b|~1
𒞺	|DUG~b×U₂~b|~2
𒞠	|DUG~b×U₂~b|~3
󳂰	|DUG~b×U₂~b|~4
󳀴	|DUG~b×(UDU~a×TAR~b)|~1
𒞡	|DUG~b×UH₃~a|~1
𒞢	|DUG~b×UH₃~a@t|~1
𒞷	|DUG~b×X|~1
𒞣	|DUG~b×X|~2
𒞤	|DUG~b×ZATU707~a|~1
𒞥	|DUG~b×ZATU764|~1
𒞦	|DUG~b×ZATU779|~1
𒞧	|DUG~b×ZATU780|~1
𒞨	|DUG~b×ZATU781|~1
𒞩	|DUG~b×(ZATU789.SA~a)|~1
𒞸	|DUG~b×1(N57)|~1
𒞪	|DUG~b×1(N57)|~2
𒞫	|DUG~b×(1(N57).KU₃~a)|~1
𒞬	|DUG~b×3(N57)|~1
󳀵	|DUG~b×1(N58)|~1
𒞹	|(DUG~b&DUG~b)×1(N58)|~1
𒞼	DUG~c~1
𒞿	DUG~c~2
𒞾	|DUG~c×1(N57)|~1
𒞽	|DUG~c×1(N57)|~2
𒟀	|DUG~c×1(N57)|~3
𒞻	DUG~c@t~1
𒟁	DUG~d~1
𒝴	DUG~e~1
𒟂	DUGUD~1
𒟃	DUR~a~1
𒟄	DUR~b~1
󳃚	DUR~b~2
𒟅	DUR₂~1
𒟆	E~a~1
𒟇	E~b~1
𒟈	E~c~1
𒟉	E~d~1
󲞩	E~e~1
𒟊	E₂~a~1
𒟌	|E₂~a×3(N58)|~1
𒟍	|E₂~a×1(N58@t)|~1
𒟎	E₂~b~1
𒟐	|E₂~b×1(N58@t)|~1
𒟑	E₂~c~1
𒟒	E₂~d~1
𒟔	E₃~b~1
𒟕	EDIN~1
𒟖	EN~a~1
𒟗	EN~a~2
𒟘	EN~a~3
𒟙	EN~a~4
𒟚	EN~b~1
𒟜	EN~b~2
𒟛	EN~b@t~1
𒟝	EN~c~1
𒟟	EN~c~2
𒟞	|EN~c&EN~c|~1
𒟠	EN~e~1
𒟡	EN@g~a~1
𒟢	EN@g~b~1
𒟣	EN₂~1
𒟫	ERIM~a~1
𒟬	ERIM~b1~1
𒟭	ERIM~b2~1
𒟯	ERIN~1
𒟰	EŠDA~1
𒟱	|EŠDA×TAR~a|~1
𒟲	EŠGAR~1
𒠁	EZEN~a~1
𒟳	EZEN~a~2
𒠂	|EZEN~a×EN~a|~1
𒟴	|EZEN~a×EN~b|~1
𒟵	|EZEN~a×(HI×1(N57).AN)|~1
𒟶	|EZEN~a×KAB|~1
󳀶	|EZEN~a×KAŠ~b|~1
𒟷	|EZEN~a×KI|~1
󲳕	|EZEN~a×LA~e|~1
𒟸	|EZEN~a×LA~e|~2
𒟹	|EZEN~a×NIM~b2|~1
𒟺	|EZEN~a×NIMGIR|~1
𒟻	|EZEN~a×RAD~a|~1
𒟼	|EZEN~a×SAG|~1
𒟽	|EZEN~a×SU~a|~1
𒟾	|EZEN~a×(U₂~b.A)|~1
𒟿	|EZEN~a×U₄|~1
𒠀	|EZEN~a×X|~1
𒠃	EZEN~b~1
󳄆	|ŠE~a@t+EZEN~b|~1
󲳟	|EZEN~b×6(N57)|~1
𒠄	|EZEN~b×6(N57)|~2
𒠅	EZEN~b@t~1
󲟐	EZEN~c~1
𒠆	EZINU~a~1
𒠇	EZINU~b~1
𒠈	EZINU~c~1
𒠉	EZINU~d~1
𒠊	GA~a~1
𒠋	GA~a~2
𒠍	GA~a~3
𒠎	GA~a~4
𒠏	GA~a~5
󲳡	|GA~a×X|~1
𒠑	GA~b~1
𒠒	GA~c~1
𒠓	|GA~c×KASKAL|~1
𒠔	|GA~c×1(N14)|~1
𒠕	GA₂~a1~1
𒠖	|GA₂~a1×A|~1
󳀹	|GA₂~a1×E₂~a|~1
󳀷	|GA₂~a1×EN~a|~1
𒠗	|GA₂~a1×EN~b|~1
󳁫	|GA₂~a1×GEŠTU~a|~1
𒠘	|GA₂~a1×GEŠTU~c3|~1
𒠙	|GA₂~a1×GEŠTU~c5|~1
𒠚	|GA₂~a1×GIR~a|~1
𒠛	|GA₂~a1×(GIR~a.KU₆~a)|~1
𒠜	|GA₂~a1×GIŠ@t|~1
󲳰	|GA₂~a1×GU₄|~1
𒠝	|GA₂~a1×HAL|~1
𒠞	|GA₂~a1×HI|~1
𒠟	|GA₂~a1×(HI.SUHUR)|~1
𒠠	|GA₂~a1×KU₃~a|~1
𒠡	|GA₂~a1×KU₆~a|~1
𒠢	|GA₂~a1×(KU₆~a.KU₆~a)|~1
𒠣	|GA₂~a1×LAGAB~b|~1
𒠤	|GA₂~a1×MAŠ|~1
𒠥	|GA₂~a1×NAGA~a|~1
𒠦	|GA₂~a1×NIM~b1|~1
󲳻	|GA₂~a1×NUN~a|~1
𒠧	|GA₂~a1×PAD~b|~1
𒠨	|GA₂~a1×PAP~a|~1
𒠩	|GA₂~a1×SU~a|~1
𒠪	|GA₂~a1×SUHUR|~1
𒠫	|GA₂~a1×SUKUD|~1
𒠬	|GA₂~a1×((SUKUD+SUKUD)~a)|~1
𒠭	|GA₂~a1×((SUKUD+SUKUD)~b)|~1
𒠮	|GA₂~a1×SUMAŠ|~1
𒠯	|GA₂~a1×ŠA|~1
𒠰	|GA₂~a1×TI|~1
𒠱	|GA₂~a1×U₄|~1
𒠲	|GA₂~a1×X|~1
󳁍	|GA₂~a1×X|~2
𒠳	|GA₂~a1×1(N14)|~1
𒠴	|GA₂~a1×1(N57)|~1
𒠵	|GA₂~a1×3(N57)|~1
𒠶	GA₂~a2~1
𒠷	|GA₂~a2×GU₄|~1
𒠸	|GA₂~a2×NI~a|~1
𒠹	|GA₂~a2×NI~b|~1
𒠺	|GA₂~a2×SUHUR|~1
𒠻	|GA₂~a2×ŠE₃|~1
𒠼	|GA₂~a2×(ŠE₃.GU₄)|~1
𒠽	|GA₂~a2×X|~1
󳃾	|GA₂~a2×3(N57)|~1
𒠾	GA₂~a3~1
𒠿	|GA₂~a3×X|~1
𒡀	GA₂~a4~1
𒡁	GA₂~b~1
𒡂	|GA₂~b×DUB~a|~1
󳂱	|GA₂~b×DUB~a|~2
𒡃	|GA₂~b×DUB~b|~1
𒡄	|GA₂~b×KU₃~a|~1
󳁬	|GA₂~b×KU₆~a|~1
󳁭	|GA₂~b×NUN~b|~1
𒡅	|GA₂~b×ZATU659|~1
𒡆	GA₂~c~1
𒡇	GAʾAR~a1~1
𒡈	GAʾAR~a2~1
𒡉	GAʾAR~b1~1
𒡊	GAʾAR~b2~1
𒡋	GADA~a~1
𒡌	GADA~b~1
𒡍	GADA~b@g~1
𒡎	GAL~a~1
𒡏	GAL~b~1
𒡐	GALGA~a~1
𒡑	GALGA~b~1
𒡒	GAN~a~1
𒡓	GAN~a~2
𒡔	GAN~b~1
𒡕	GAN~b~2
𒡖	GAN~b~3
𒡗	GAN~b~4
𒡘	GAN~c~1
𒡠	GAN~c~2
𒡙	|GAN~c×DIN|~1
𒡚	|GAN~c×HI|~1
𒡛	|GAN~c×(HI.DIN)|~1
𒡡	|GAN~c×KAŠ~c|~1
𒡢	|GAN~c×(KUR~a.A)|~1
𒡜	|GAN~c×LAGAB~b|~1
𒡝	|GAN~c×NE~a|~1
𒡞	|GAN~c×SIG₇|~1
𒡤	|GAN~c×ŠE~a|~1
𒡥	|GAN~c×ŠE₃@t|~1
𒡟	|GAN~c×X|~1
𒡣	|GAN~c×ZATU777|~1
󳀺	|GAN~c×(4(N57).GAR)|~1
󲟵	GAN~d~1
𒡦	|GAN~d×GEŠTU~a|~1
󲴡	|GAN~d×HI|~1
𒡧	GAN₂~1
𒡨	GAR~1
𒡩	GAR@g~a~1
𒡪	GAR@g~b~1
𒡫	GAR@g~c~1
𒡬	GAR₃~1
𒡭	GARA₂~a~1
𒡮	GARA₂~b~1
𒡯	GAZI~1
𒡰	GEŠTIN~a~1
󲠀	GEŠTIN~c~1
󲴢	|GEŠTIN~c×X|~1
󳁮	GEŠTIN~d~1
󳁯	GEŠTIN~e~1
𒡱	GEŠTU~a~1
𒡲	GEŠTU~a~2
𒡳	GEŠTU~a~3
󲴣	|GEŠTU~a×ŠE~a@t|~1
𒡴	GEŠTU~b~1
𒡵	GEŠTU~c3~1
𒡶	GEŠTU~c3~2
𒡷	GEŠTU~c5~1
𒢄	GI~1
𒡸	GI~2
󳀻	|GI×A|~1
𒢅	|GI×GIŠ@t|~1
𒡹	|GI×KU~b1|~1
𒢆	|GI×LAGAB~a|~1
𒡺	|GI×NAM₂|~1
𒡻	|GI×SIG₂~d1|~1
𒡼	|GI×ŠE₃|~1
𒡽	|GI×X|~1
𒢇	|GI×1(N14)|~1
𒡾	|GI×1(N58@t)|~1
𒡿	|GI&GI|~1
𒢀	|(GI&GI)×GIŠ@t|~1
𒢁	|(GI&GI)×ŠE₃|~1
𒢂	|(GI&GI)×X|~1
𒢈	|GI&GI&GI|~1
𒢃	GI@t~1
𒢉	GI₄~a~1
𒢊	|GI₄~a×A|~1
𒢋	|GI₄~a&GI₄~a|~1
𒢌	GI₄~b~1
𒢍	|GI₄~b&GI₄~b|~1
𒢏	GI₆~1
𒢎	GI₆~2
𒢐	GIBIL~1
𒢑	GIBIL@t~1
󲠓	GIL~1
𒢓	GIR~a~1
𒢕	GIR~b~1
𒢖	GIR~b~2
𒢘	GIR~c~1
𒢙	GIR~d~1
𒢚	GIR₂~a~1
𒢛	GIR₂~b~1
𒢜	GIR₃~a~1
𒢝	|GIR₃~a×ŠE~b|~1
𒢞	GIR₃~b~1
𒢟	GIR₃~c~1
𒢠	|GIR₃~c×KAR₂~b|~1
𒢡	|GIR₃~c×ŠE₃|~1
𒢢	GIR₃@g~a~1
𒢣	GIR₃@g~b~1
𒢤	GIR₃@g~c~1
𒢥	GISAL~a~1
𒢦	GISAL~b~1
𒢧	GIŠ~1
𒢩	|(GIŠ×(DIN.DIN))~a|~1
𒢪	|(GIŠ×(DIN.DIN))~b|~1
𒢫	|(GIŠ×(DIN.DIN))~c|~1
𒢬	|(GIŠ×ŠU₂)~a|~1
𒢭	|(GIŠ×ŠU₂)~b|~1
󲠥	GIŠ~v~1
𒢮	GIŠ@t~1
𒢯	GIŠ₃~a~1
𒢰	|GIŠ₃~a&GIŠ₃~a|~1
𒢱	GIŠ₃~b~1
𒢳	GIŠGAL~1
𒢲	GIŠGAL~2
𒢴	GIŠIMMAR~a1~1
𒢵	GIŠIMMAR~a2~1
𒢶	GIŠIMMAR~a3~1
󳃛	GIŠIMMAR~a3~2
𒢷	GIŠIMMAR~b1~1
𒢸	GIŠIMMAR~b1~2
𒢹	GIŠIMMAR~b1~3
󳁰	GIŠIMMAR~b2~1
𒢺	GIŠIMMAR~b3~1
𒢼	GU~1
𒢽	GU₂~1
𒣁	GU₄~1
𒢾	GU₄~2
󳃨	|GU₄×1(N58)|~1
𒣀	GU₄@g~1
󳃜	GU₄@g~2
𒣂	GU₇~1
𒣃	GU₇~2
𒣄	GUB₃~a~1
𒣅	GUB₃~b~1
𒣆	GUB₃~c~1
𒣇	GUB₃~d~1
󳃝	GUB₃~d~2
𒣊	GUG₂~1
𒣈	GUG₂~2
󳂴	GUG₂~3
󳂛	GUG₂~4
𒣋	|GUG₂×SILA₃~a|~1
󲵃	|GUG₂×ŠITA~a1|~1
𒣌	|GUG₂×TUR|~1
𒣉	GUG₂@t~1
𒣍	GUKKAL~a~1
𒣏	GUKKAL~b~1
𒣐	GUKKAL~c~1
𒣑	GUKKAL~d~1
𒣒	GUL~1
𒣓	GUM~a~1
𒣔	GUM~b~1
𒣗	GUM~b~2
𒣕	GUM~b@n~1
𒣖	GUM~b@n~2
𒣘	GUN₃~a~1
𒣙	GUN₃~b~1
𒣚	GUR~1
𒣛	GURUŠ~a~1
𒣝	GURUŠ~a~2
󳃶	GURUŠ~a~3
𒣜	|GURUŠ~a×2(N14)|~1
𒣞	GURUŠ~b~1
𒣟	|GURUŠ~b×2(N14)|~1
𒣠	|GURUŠ~c×2(N14)|~1
𒣡	GURUŠDA~1
𒣢	HAL~1
𒣣	HALUB~1
𒣤	HAŠHUR~1
𒣥	|HAŠHUR×MA|~1
𒣦	HI~1
󲵑	|HI×ŠE₃@t|~1
𒣫	|HI×ZATU707~a|~1
󲵋	|HI×1(N01@f)|~1
𒣬	|HI×1(N57)|~1
𒣮	|HI×1(N57@t)|~1
𒣯	|HI×1(N58)|~1
󳁱	HI~b~1
𒣰	HI@g~a~1
𒣱	HI@g~b~1
𒣲	HI@g~c~1
󲡙	HUB₂~1
𒣳	I~1
𒣴	IB~a~1
󳃳	IB~a~2
󳃴	IB~a~3
𒣵	IB~a@n~1
𒣶	IB~b~1
󳁲	IB~c~1
𒣸	IDIGNA~1
𒣷	IDIGNA~2
𒣹	IG~a~1
𒣺	IG~b~1
󲡢	IGI~1
𒣻	IL~1
𒣾	IM~a~1
󲡧	IM~a@g~1
𒣿	IM~b~1
𒤀	IN~b~1
𒤁	IN~b~2
𒤂	IN~d~1
𒤃	IR~a~1
𒤅	IR~b~1
𒤆	IR~c~1
𒤇	IR~d~1
𒤊	IRHAN~1
𒤌	IŠ~a~1
𒤋	IŠ~a~2
󳂵	IŠ~a~3
󳂜	IŠ~a~4
𒤍	IŠ~b~1
𒤎	IŠ~b~2
𒤏	IŠ~b~3
𒤐	IŠ~b~4
𒤑	IŠ~b~5
𒤒	IŠ~b~6
𒤓	IŠ~c~1
𒤔	KA~a~1
𒤕	|KA~a×SAR~a|~1
𒤘	KA₂~a~1
𒤙	KA₂~b~1
𒤚	KA₂~c~1
󲢀	KA₂~d~1
𒤛	|KA₂~d×LAM~b|~1
󿿹	|KA₂~d×LAM~b|~2
𒤜	KAB~1
𒤝	|KAB×1(N58)|~1
𒤞	KAD₄~a~1
𒤟	KAD₄~b~1
𒤠	KAD₄~c1~1
𒤡	KAD₄~c2~1
𒤢	KAK~a~1
𒤤	KAK~b~1
𒤥	KAL~a~1
𒤦	KAL~b1~1
𒤧	KAL~b1~2
𒤨	KAL~b2~1
𒤩	KALAM~a~1
𒤪	KALAM~b~1
𒤫	KALAM~c~1
𒤬	KALAM~d~1
𒤭	KALAM~e~1
𒤮	KALAM~f~1
󳀼	KALAM~g~1
󳀽	KALAM~h~1
󳀾	KALAM~h2~1
𒤰	KAR₂~a~1
𒤱	KAR₂~b~1
𒤲	KASKAL~1
𒤳	KASKAL@g~1
𒤵	KAŠ~a~1
𒤴	KAŠ~a~2
𒤸	KAŠ~b~1
𒤶	KAŠ~b~2
𒤹	|KAŠ~b×ŠE~a@t|~1
𒤷	KAŠ~b@t~1
𒤺	KAŠ~c~1
𒤻	KAŠ~d~1
󳁗	KAŠ~d~2
󲢞	KEŠ₂~1
𒤼	KI~1
𒤽	KI@n~1
𒤾	|KI@n×DUB~a|~1
𒤿	KIB~1
𒥀	KIB@g~1
𒥁	KID~a~1
𒥂	KID~b~1
𒥃	KID~c~1
𒥄	KID~d~1
𒥅	KID~e~1
𒥆	KIN~1
𒥇	KIN₂~a~1
󳁳	KIN₂~b~1
𒥈	KIN₂~c~1
𒥉	KIN₂~d~1
𒥊	KIN₂~e~1
󳃩	KIN₂~e~2
𒥎	KISAL~a1~1
𒥏	KISAL~a2~1
𒥐	KISAL~b1~1
𒥑	KISAL~b2~1
𒥒	KISAL~b2@t~1
𒥓	KISAL~b3~1
𒥔	KISIM~a~1
𒥕	KISIM~b~1
𒥖	KISIM~b~2
𒥗	KISIM~b~3
𒥘	KISIM~b~4
𒥙	KISIM~c~1
𒥚	KIŠ~1
𒥛	KIŠ~2
󳀦	KIŠ~3
𒥜	KIŠIK~a~1
𒥝	KIŠIK~b~1
𒥞	KITI~1
𒥟	KITI~2
󳂶	KITI~3
𒥠	KU~a~1
󲣃	KU~a@t~1
𒥡	KU~b1~1
𒥢	KU~b2~1
𒥣	KU₃~a~1
󳃪	KU₃~a~2
𒥤	KU₃~c~1
𒥥	KU₆~a~1
𒥨	|KU₆~a+KU₆~a|~1
𒥩	KU₆~a@s~1
𒥪	KU₆~c~1
𒥫	KU₆~d~1
󲣌	KUN~1
𒥬	KUR~a~1
𒥯	KUR~b~1
𒥱	KUR~c~1
𒥲	KUR~c~2
𒥳	KUR~d~1
𒥴	KUR@g~a~1
𒥵	KUR@g~b~1
𒥶	KUŠU₂~a~1
𒥷	KUŠU₂~b~1
𒥸	KUŠU₂~c~1
𒥹	KUŠU₂~d~1
𒥺	KUŠU₂~e~1
𒥻	KUŠU₂~f~1
𒥼	LA~b~1
𒥽	LA~c~1
𒥾	LA~d~1
󲣝	LA~e~1
𒥿	LA₂~1
𒦀	LAGAB~a~1
󳂷	LAGAB~a~2
𒦁	|LAGAB~a×BA|~1
𒦂	|LAGAB~a×BIR₃~b|~1
𒦃	|LAGAB~a×DU₆~a|~1
𒦄	|LAGAB~a×KAK~a|~1
𒦅	|LAGAB~a×KU₆~a|~1
𒦆	|LAGAB~a×(KU₆~a+KU₆~a)|~1
𒦇	|LAGAB~a×KUŠU₂~a@t|~1
󳀙	|LAGAB~a×LA₂~a|~1
𒦈	|LAGAB~a×LAGAB~a|~1
𒦉	|LAGAB~a×ME~a|~1
󳂸	|LAGAB~a×ME~a|~2
󳀖	|LAGAB~a×NI~a|~1
𒦊	|LAGAB~a×NUN~b|~1
