serial	char	cdli	ap23-name	action	comment	pcsl	new-name	new-code	sort	components
358.1	𒛲	ABGAL	ABGAL VARIANT 1			ABGAL~v1			55	
359	𒛳	ABRIG	ABRIG			ABRIG			56	
360	𒛴	ABZU	ABZU			ABZU			57	
361	𒛵	AD~a	AD-A			AD~a			60	
362	𒛶	AD~b	AD-B			AD~b			61	
363	𒛷	AD~c	AD-C			AD~c			62	
364	𒛸	ADAB	ADAB			ADAB			63	
365	𒛹	ADDA	ADDA			ADDA			65	
366	𒛺	ADDA@t-2	ADDA TENU-2			ADDA@t			66	
367	𒛻	AGAR2	AGAR2			AGAR₂			68	
368	𒛼	AK~a	AK-A			AK~a			70	
369	𒛽	AK~b	AK-B			AK~b			71	
370	𒛾	AL	AL			AL			72	
371	𒛿	ALAN~a	ALAN-A			ALAN~a			74	
372	𒜀	ALAN~b	ALAN-B			ALAN~b			75	
373	𒜁	ALAN~c	ALAN-C			ALAN~c			76	
374	𒜂	ALAN~d	ALAN-D			ALAN~d			77	
375	𒜃	ALAN~e	ALAN-E			ALAN~e			78	
376	𒜄	ALAN~f	ALAN-F	remove		ALAN~f			79	
377	𒜅	ALIM	ALIM			ALIM			80	
378	𒜆	AM~a	AM-A			AM~a			83	
379	𒜇	AM~b	AM-B			AM~b			84	
380	𒜈	AMA~a	AMA-A			AMA~a			87	
380.1	𒜉	AMA~a	AMA-A VARIANT 1			AMA~a~v1			89	
381	𒜊	AMA~b	AMA-B			AMA~b			90	
382	𒜋	AMAR	AMAR			AMAR			91	
382.1	𒜌	AMAR	AMAR VARIANT 1			AMAR~v1			96	
382.2	𒜍	AMAR	AMAR VARIANT 2			AMAR~v2			97	
383	𒜎	AMAR@g	AMAR GUNU			AMAR@g			99	
384	𒜏	AN	AN			AN			100	
384.1	𒜐	AN	AN VARIANT 1	delete	# Duplicates 384 AN 𒜏 	AN~v1			103	
384.2	𒜑	AN	AN VARIANT 2			AN~v2			104	
385	𒜒	ANSZE~a	ANSHE-A			ANŠE~a			106	
386	𒜓	ANSZE~b	ANSHE-B			ANŠE~b			107	
387	𒜔	ANSZE~c	ANSHE-C			ANŠE~c			108	
388	𒜕	ANSZE~e	ANSHE-E			ANŠE~e			110	
389	𒜖	ANZU2	ANZU2	remove		ANZU₂			112	
390	𒜗	APIN~a	APIN-A			APIN~a			115	
391	𒜘	APIN~b	APIN-B			APIN~b			117	
392	𒜙	APIN~c	APIN-C			APIN~c			118	
393	𒜚	ARARMA2~a	ARARMA2-A			ARARMA₂~a			120	
393.1	𒜛	ARARMA2~a	ARARMA2-A VARIANT 1			ARARMA₂~a~v1			121	
394	𒜜	ARARMA2~b	ARARMA2-B			ARARMA₂~b			122	
395	𒜝	ARATTA	ARATTA			ARATTA			123	
396	𒜞	ASAL2	ASAL2	remove		ASAL₂			124	
397	𒜟	ASAR	ASAR			ASAR			125	
398	𒜠	ASZ2	ASH2			AŠ₂			127	
399	𒜡	AZ	AZ			AZ			129	
400	𒜢	AZU	AZU			AZU			130	
401	𒜣	BA	BA			BA			131	
402	𒜤	BAD	BAD			BAD			132	
403	𒜥	BAD3~a	BAD3-A			BAD₃~a			138	
404	𒜦	BAD3~b1	BAD3-B1			BAD₃~b1			140	
405	𒜧	BAD3~b2	BAD3-B2			BAD₃~b2			141	
406	𒜨	BAHAR2~a	BAHAR2-A			BAHAR₂~a			143	
406.1	𒜩	BAHAR2~a	BAHAR2-A VARIANT 1			BAHAR₂~a~v1			144	
407	𒜪	BAHAR2~b	BAHAR2-B			BAHAR₂~b			145	
407.1	𒜫	BAHAR2~b	BAHAR2-B VARIANT 1			BAHAR₂~b~v1			146	
408	𒜬	BAHAR2~c	BAHAR2-C			BAHAR₂~c			147	
409	𒜭	BALA~a	BALA-A			BALA~a			149	
410	𒜮	BALA~b	BALA-B			BALA~b			150	
410.1	𒜯	BALA~b	BALA-B VARIANT 1			BALA~b~v1			151	
411	𒜰	BALAG	BALAG			BALAG			152	
411.1	𒜱	BALAG	BALAG VARIANT 1			BALAG~v1			153	
412	𒜲	BAN~a	BAN-A			BAN~a			155	
412.1	𒜳	BAN~a	BAN-A VARIANT 1			BAN~a~v1			156	
412.2	𒜴	BAN~a	BAN-A VARIANT 2			BAN~a~v2			157	
413	𒜵	BAN~b	BAN-B			BAN~b			158	
414	𒜶	BANSZUR~a	BANSHUR-A			BANŠUR~a			160	
415	𒜷	BANSZUR~a@t	BANSHUR-A TENU			BANŠUR~a@t			161	
416	𒜸	BANSZUR~b1	BANSHUR-B1			BANŠUR~b1			162	
417	𒜹	BANSZUR~b2	BANSHUR-B2			BANŠUR~b2			163	
418	𒜺	BANSZUR~c	BANSHUR-C			BANŠUR~c			164	
419	𒜻	BAPPIR~a	BAPPIR-A			BAPPIR~a			167	
420	𒜼	BAPPIR~b	BAPPIR-B			BAPPIR~b			168	
421	𒜽	BAPPIR~c	BAPPIR-C			BAPPIR~c			169	
422	𒜾	BAPPIR~d	BAPPIR-D			BAPPIR~d			170	
423	𒜿	BAPPIR~e	BAPPIR-E			BAPPIR~e			171	
424	𒝀	BAPPIR~f	BAPPIR-F			BAPPIR~f			172	
425	𒝁	BAR	BAR			BAR			173	
426	𒝂	BARA2~a	BARA2-A			BARA₂~a			180	
426.1	𒝃	BARA2~a	BARA2-A VARIANT 1			BARA₂~a~v1			181	
427	𒝄	BARA2~b	BARA2-B			BARA₂~b			182	
427.1	𒝅	BARA2~b	BARA2-B VARIANT 1			BARA₂~b~v1			183	
428	𒝆	BARA3	BARA3			BARA₃			179	
429	𒝇	BIR~a	BIR-A			BIR~a			649	
430	𒝈	BIR~b	BIR-B			BIR~b			650	
431	𒝉	BIR~c	BIR-C			BIR~c			651	
432	𒝊	BIR3~a	BIR3-A			BIR₃~a			653	
432.1	𒝋	BIR3~a	BIR3-A VARIANT 1			BIR₃~a~v1			654	
433	𒝌	BIR3~b	BIR3-B			BIR₃~b			655	
433.1	𒝍	BIR3~b	BIR3-B VARIANT 1			BIR₃~b~v1			656	
434	𒝎	BIR3~c	BIR3-C			BIR₃~c			657	
435	𒝏	BU~a	BU-A			BU~a			674	
435.1	𒝐	BU~a	BU-A VARIANT 1			BU~a~v1			694	
436	𒝑	BU~b	BU-B			BU~b			698	
437	𒝒	BU3	BU3			BU₃			701	
438	𒝓	BULUG	BULUG			BULUG			703	
439	𒝔	BULUG3	BULUG3			BULUG₃			704	
440	𒝕	BUR~a	BUR-A			BUR~a			708	
441	𒝖	BUR~b	BUR-B			BUR~b			709	
442	𒝗	BUR~c	BUR-C			BUR~c			710	
443	𒝘	BUR~d	BUR-D			BUR~d			711	
444	𒝙	BUR2	BUR2			BUR₂			712	
445	𒝚	DA~a	DA-A			DA~a			715	
446	𒝛	DA~b	DA-B			DA~b			717	
447	𒝜	DA~c	DA-C			DA~c			718	
448	𒝝	DA~d	DA-D			DA~d			719	
449	𒝞	DAG	DAG	remove		DAG			720	
450	𒝟	DAH	DAH			DAH			721	
451	𒝠	DAM	DAM			DAM			722	
452	𒝡	DANNA	DANNA			DANNA			723	
453	𒝢	DAR~a	DAR-A			DAR~a			726	
454	𒝣	DAR~b	DAR-B			DAR~b			728	
455	𒝤	DAR~c	DAR-C			DAR~c			729	
456	𒝥	DAR~d	DAR-D			DAR~d			730	
457	𒝦	DARA3~a	DARA3-A			DARA₃~a			735	
458	𒝧	DARA3~b	DARA3-B			DARA₃~b			736	
459	𒝨	DARA3~c	DARA3-C			DARA₃~c			737	
459.1	𒝩	DARA3~c	DARA3-C VARIANT 1			DARA₃~c~v1			742	
460	𒝪	DARA3~d	DARA3-D			DARA₃~d			743	
461	𒝫	DARA4~a1	DARA4-A1			DARA₄~a1			754	
462	𒝬	DARA4~a2	DARA4-A2			DARA₄~a2			755	
463	𒝭	DARA4~a3	DARA4-A3			DARA₄~a3			756	
464	𒝮	DARA4~b	DARA4-B			DARA₄~b			757	
465	𒝯	DARA4~c1	DARA4-C1			DARA₄~c1			759	
466	𒝰	DARA4~c2	DARA4-C2			DARA₄~c2			760	
467	𒝱	DARA4~c3	DARA4-C3			DARA₄~c3			761	
468	𒝲	DARA4~c4	DARA4-C4			DARA₄~c4			762	
469	𒝳	DARA4~c5	DARA4-C5			DARA₄~c5			763	
470	𒝴	DI	DI			DI			765	
471	𒝵	DI@t	DI TENU			DI@t			766	
472	𒝶	DIB	DIB			DIB			767	
472.1	𒝷	DIB	DIB VARIANT 1			DIB~v1			768	
473	𒝸	DILMUN	DILMUN			DILMUN			769	
473.1	𒝹	DILMUN	DILMUN VARIANT 1			DILMUN~v1			770	
473.2	𒝺	DILMUN	DILMUN VARIANT 2			DILMUN~v2			771	
474	𒝻	DIM~a	DIM-A			DIM~a			775	
475	𒝼	DIM~b	DIM-B			DIM~b			778	
476	𒝽	DIM~c	DIM-C			DIM~c			779	
477	𒝾	DIN	DIN			DIN			780	
478	𒝿	DIN@t	DIN TENU			DIN@t			784	
479	𒞀	DU	DU			DU			785	
480	𒞁	DU@g	DU GUNU			DU@g			790	
481	𒞂	DU6~a	DU6-A			DU₆~a			801	
481.1	𒞃	DU6~a	DU6-A VARIANT 1			DU₆~a~v1			804	
482	𒞄	DU6~b	DU6-B			DU₆~b			807	
483	𒞅	DU6~c	DU6-C			DU₆~c			808	
484	𒞆	DU7	DU7			DU₇			794	
485	𒞇	DU8~a	DU8-A			DU₈~a			809	
486	𒞈	DU8~b	DU8-B			DU₈~b			810	
486.1	𒞉	DU8~b	DU8-B VARIANT 1			DU₈~b~v1			811	
487	𒞊	DU8~c	DU8-C			DU₈~c			812	
488	𒞋	DU8~c@g	DU8-C GUNU			DU₈~c@g			818	
488.1	𒞌	DU8~c@g	DU8-C GUNU VARIANT 1			DU₈~c@g~v1			819	
489	𒞍	DUB~a	DUB-A			DUB~a			828	
490	𒞎	DUB~b	DUB-B			DUB~b			829	
490.1	𒞏	DUB~b	DUB-B VARIANT 1			DUB~b~v1			830	
490.2	𒞐	DUB~b	DUB-B VARIANT 2			DUB~b~v2			831	
490.3	𒞑	DUB~b	DUB-B VARIANT 3			DUB~b~v3			832	
490.4	𒞒	DUB~b	DUB-B VARIANT 4			DUB~b~v4			833	
491	𒞓	DUB~c	DUB-C			DUB~c			835	
492	𒞔	DUB~d	DUB-D			DUB~d			836	
493	𒞕	DUB~e	DUB-E			DUB~e			837	
494	𒞖	DUB~f	DUB-F			DUB~f			838	
495	𒞗	DUB2	DUB2			DUB₂			850	
496	𒞘	DUG~a	DUG-A			DUG~a			911	
496.1	𒞙	DUG~a	DUG-A VARIANT 1			DUG~a~v1			921	
496.2	𒞚	DUG~a	DUG-A VARIANT 2			DUG~a~v2			922	
497	𒞛	DUG~b	DUG-B			DUG~b			924	
497.1	𒞜	DUG~b	DUG-B VARIANT 1			DUG~b~v1			1025	
498	𒞝	DUG~c	DUG-C			DUG~c~v1			1046	
498.1	𒞞	DUG~c	DUG-C VARIANT 1			DUG~c~v3			1050	
499	𒞟	DUG~c@t	DUG-C TENU			DUG~c@t			1052	
500	𒞠	DUG~d	DUG-D	delete	# Duplicates 499 DUG~c@t 𒞟	DUG~d			1055	
501	𒞡	DUGUD	DUGUD			DUGUD			1057	
502	𒞢	DUR~a	DUR-A			DUR~a			1061	
503	𒞣	DUR~b	DUR-B			DUR~b			1062	
504	𒞤	DUR2	DUR2			DUR₂			1063	
505	𒞥	E~a	E-A			E~a			1065	
506	𒞦	E~b	E-B			E~b			1066	
507	𒞧	E~c	E-C			E~c			1067	
508	𒞨	E~d	E-D			E~d			1068	
509	𒞩	E~e	E-E	remove		E~e			1069	
510	𒞪	E2~a	E2-A			E₂~a			1076	
511	𒞫	E2~b	E2-B			E₂~b			1082	
512	𒞬	E2~c	E2-C			E₂~c			1089	
513	𒞭	E2~d	E2-D			E₂~d			1090	
514	𒞮	E3~a	E3-A			E₃~a			1091	
515	𒞯	E3~b	E3-B			E₃~b			1093	
516	𒞰	EDIN	EDIN			EDIN			1094	
517	𒞱	EN~a	EN-A			EN~a			1098	
517.1	𒞲	EN~a	EN-A VARIANT 1			EN~a~v1			1103	
517.2	𒞳	EN~a	EN-A VARIANT 2			EN~a~v2			1104	
517.3	𒞴	EN~a	EN-A VARIANT 3			EN~a~v3			1105	
518	𒞵	EN~b	EN-B			EN~b			1106	
518.1	𒞶	EN~b	EN-B VARIANT 1			EN~b~v1			1107	
519	𒞷	EN~b@t	EN-B TENU			EN~b@t			1108	
520	𒞸	EN~c	EN-C			EN~c			1109	
520.1	𒞹	EN~c	EN-C VARIANT 1			EN~c~v1			1111	
521	𒞺	EN~e	EN-E			EN~e			1113	
522	𒞻	EN@g~a	EN GUNU-A			EN@g~a			1115	
523	𒞼	EN@g~b	EN GUNU-B			EN@g~b			1116	
524	𒞽	EN2	EN2			EN₂			1118	
525	𒞾	ENDIB	ENDIB			ENDIB			1123	
526	𒞿	ENGIZ	ENGIZ			ENGIZ			1124	
527	𒟀	ENKUM	ENKUM			ENKUM			1125	
527.1	𒟁	ENKUM	ENKUM VARIANT 1			ENKUM~v1			1126	
528	𒟂	ENLIL	ENLIL			ENLIL			1127	
529	𒟃	ENSI	ENSI	remove		ENSI			1128	
530	𒟄	ENSI2	ENSI2	remove		ENSI₂			1129	
531	𒟅	ERIM~a	ERIM-A			ERIM~a			1131	
532	𒟆	ERIM~b1	ERIM-B1			ERIM~b1			1132	
533	𒟇	ERIM~b2	ERIM-B2			ERIM~b2			1133	
534	𒟈	ERIM2	ERIM2			ERIM₂			1134	
535	𒟉	ERIN	ERIN			ERIN			1135	
536	𒟊	ESZDA	ESHDA			EŠDA			1136	
537	𒟋	ESZGAR	ESHGAR			EŠGAR			1139	
538	𒟌	EZEN~a	EZEN-A			EZEN~a			1160	
538.1	𒟍	EZEN~a	EZEN-A VARIANT 1			EZEN~a~v1			1185	
539	𒟎	EZEN~b	EZEN-B			EZEN~b			1187	
540	𒟏	EZEN~b@t	EZEN-B TENU			EZEN~b@t			1192	
541	𒟐	EZEN~c	EZEN-C	delete	# Duplicates 540 EZEN~b@t 𒟏	EZEN~c			1194	
542	𒟑	EZINU~a	EZINU-A			EZINU~a			1197	
543	𒟒	EZINU~b	EZINU-B			EZINU~b			1198	
544	𒟓	EZINU~c	EZINU-C			EZINU~c			1199	
545	𒟔	EZINU~d	EZINU-D			EZINU~d			1200	
546	𒟕	GA~a	GA-A			GA~a			1206	
546.1	𒟖	GA~a	GA-A VARIANT 1			GA~a~v1			1210	
546.2	𒟗	GA~a	GA-A VARIANT 2			GA~a~v2			1212	
546.3	𒟘	GA~a	GA-A VARIANT 3			GA~a~v3			1213	
546.4	𒟙	GA~a	GA-A VARIANT 4			GA~a~v4			1214	
547	𒟚	GA~b	GA-B			GA~b			1217	
548	𒟛	GA~c	GA-C			GA~c			1218	
549	𒟜	GA2~a1	GA2-A1			GA₂~a1			1263	
550	𒟝	GA2~a2	GA2-A2			GA₂~a2			1309	
551	𒟞	GA2~a3	GA2-A3			GA₂~a3			1321	
552	𒟟	GA2~a4	GA2-A4			GA₂~a4			1323	
553	𒟠	GA2~b	GA2-B			GA₂~b			1324	
554	𒟡	GA2~c	GA2-C			GA₂~c			1336	
555	𒟢	GA’AR~a1	GAAR-A1			GAʾAR~a1			1338	
556	𒟣	GA’AR~a2	GAAR-A2			GAʾAR~a2			1339	
557	𒟤	GA’AR~b1	GAAR-B1			GAʾAR~b1			1340	
558	𒟥	GA’AR~b2	GAAR-B2			GAʾAR~b2			1341	
559	𒟦	GADA~a	GADA-A			GADA~a			1344	
560	𒟧	GADA~b	GADA-B			GADA~b			1345	
561	𒟨	GADA~b@g	GADA-B GUNU			GADA~b@g			1346	
562	𒟩	GAL~a	GAL-A			GAL~a			1349	
563	𒟪	GAL~b	GAL-B			GAL~b			1350	
564	𒟫	GALGA~a	GALGA-A			GALGA~a			1352	
565	𒟬	GALGA~b	GALGA-B			GALGA~b			1353	
566	𒟭	GAN~a	GAN-A			GAN~a			1372	
566.1	𒟮	GAN~a	GAN-A VARIANT 1			GAN~a~v1			1373	
567	𒟯	GAN~b	GAN-B			GAN~b			1374	
567.1	𒟰	GAN~b	GAN-B VARIANT 1			GAN~b~v1			1375	
567.2	𒟱	GAN~b	GAN-B VARIANT 2			GAN~b~v2			1376	
567.3	𒟲	GAN~b	GAN-B VARIANT 3			GAN~b~v3			1377	
568	𒟳	GAN~c	GAN-C			GAN~c			1378	
568.1	𒟴	GAN~c	GAN-C VARIANT 1			GAN~c~v1			1394	
569	𒟵	GAN~d	GAN-D	remove		GAN~d			1401	
570	𒟶	GAN2	GAN2			GAN₂			1408	
571	𒟷	GAR	GAR			GAR			1409	
572	𒟸	GAR@g~a	GAR GUNU-A			GAR@g~a			1411	
573	𒟹	GAR@g~b	GAR GUNU-B			GAR@g~b			1412	
574	𒟺	GAR@g~c	GAR GUNU-C			GAR@g~c			1413	
575	𒟻	GAR3	GAR3			GAR₃			1414	
576	𒟼	GARA2~a	GARA2-A			GARA₂~a			1416	
577	𒟽	GARA2~b	GARA2-B			GARA₂~b			1418	
578	𒟾	GAZI	GAZI			GAZI			1419	
579	𒟿	GESZTIN~a	GESHTIN-A			GEŠTIN~a			1422	
580	𒠀	GESZTIN~c	GESHTIN-C	remove		GEŠTIN~c			1423	
581	𒠁	GESZTU~a	GESHTU-A			GEŠTU~a			1429	
581.1	𒠂	GESZTU~a	GESHTU-A VARIANT 1			GEŠTU~a~v1			1432	
581.2	𒠃	GESZTU~a	GESHTU-A VARIANT 2			GEŠTU~a~v2			1433	
582	𒠄	GESZTU~b	GESHTU-B			GEŠTU~b			1434	
583	𒠅	GESZTU~c3	GESHTU-C3			GEŠTU~c3			1436	
583.1	𒠆	GESZTU~c3	GESHTU-C3 VARIANT 1			GEŠTU~c3~v1			1437	
584	𒠇	GESZTU~c5	GESHTU-C5			GEŠTU~c5			1438	
585	𒠈	GI	GI			GI			1439	
585.1	𒠉	GI	GI VARIANT 1			GI~v1			1463	
586	𒠊	GI@t	GI TENU			GI@t			1468	
587	𒠋	GI4~a	GI4-A			GI₄~a			1474	
588	𒠌	GI4~b	GI4-B			GI₄~b			1477	
589	𒠍	GI6	GI6			GI₆			1472	
589.1	𒠎	GI6	GI6 VARIANT 1			GI₆~v1			1480	
590	𒠏	GIBIL	GIBIL			GIBIL			1481	
591	𒠐	GIBIL@t	GIBIL TENU			GIBIL@t			1482	
592	𒠑	GIBIL6	GIBIL6			GIBIL₆			1483	
593	𒠒	GIG	GIG	remove		GIG			1484	
594	𒠓	GIL	GIL	remove		GIL			1485	
595	𒠔	GIR~a	GIR-A			GIR~a			1489	
596	𒠕	GIR~b	GIR-B			GIR~b			1491	
596.1	𒠖	GIR~b	GIR-B VARIANT 1			GIR~b~v1			1493	
597	𒠗	GIR~c	GIR-C			GIR~c			1495	
598	𒠘	GIR~d	GIR-D			GIR~d			1496	
599	𒠙	GIR2~a	GIR2-A			GIR₂~a			1503	
600	𒠚	GIR2~b	GIR2-B			GIR₂~b			1504	
601	𒠛	GIR3~a	GIR3-A			GIR₃~a			1505	
602	𒠜	GIR3~b	GIR3-B			GIR₃~b			1507	
603	𒠝	GIR3~c	GIR3-C			GIR₃~c			1508	
604	𒠞	GIR3@g~a	GIR3 GUNU-A			GIR₃@g~a			1515	
605	𒠟	GIR3@g~b	GIR3 GUNU-B			GIR₃@g~b			1516	
606	𒠠	GIR3@g~c	GIR3 GUNU-C			GIR₃@g~c			1517	
607	𒠡	GIR4	GIR4	remove		GIR₄			1502	
608	𒠢	GISAL~a	GISAL-A			GISAL~a			1519	
609	𒠣	GISAL~b	GISAL-B			GISAL~b			1520	
610	𒠤	GISZ	GISH			GIŠ			1521	
611	𒠥	GISZ~x	GISH-X	remove		GIŠ~v			1533	
612	𒠦	GISZ@t	GISH TENU			GIŠ@t			1534	
613	𒠧	GISZ3~a	GISH3-A			GIŠ₃~a			1539	
614	𒠨	GISZ3~b	GISH3-B			GIŠ₃~b			1541	
615	𒠩	GISZGAL	GISHGAL			GIŠGAL			1542	
615.1	𒠪	GISZGAL	GISHGAL VARIANT 1			GIŠGAL~v1			1543	
616	𒠫	GISZIMMAR~a1	GISHIMMAR-A1			GIŠIMMAR~a1			1545	
617	𒠬	GISZIMMAR~a2	GISHIMMAR-A2			GIŠIMMAR~a2			1546	
618	𒠭	GISZIMMAR~a3	GISHIMMAR-A3			GIŠIMMAR~a3			1547	
619	𒠮	GISZIMMAR~b1	GISHIMMAR-B1			GIŠIMMAR~b1			1548	
619.1	𒠯	GISZIMMAR~b1	GISHIMMAR-B1 VARIANT 1			GIŠIMMAR~b1~v1			1549	
619.2	𒠰	GISZIMMAR~b1	GISHIMMAR-B1 VARIANT 2			GIŠIMMAR~b1~v2			1550	
620	𒠱	GISZIMMAR~b3	GISHIMMAR-B3			GIŠIMMAR~b3			1552	
621	𒠲	GIZZAL~x	GIZZAL-X	rename		GIZZAL~v	PROTO-CUNEIFORM SIGN GIZZAL-V		1555	
622	𒠳	GU	GU			GU			1556	
623	𒠴	GU2	GU2			GU₂			1558	
624	𒠵	GU4	GU4			GU₄			1559	
624.1	𒠶	GU4	GU4 VARIANT 1			GU₄~v1			1564	
625	𒠷	GU4@g	GU4 GUNU			GU₄@g			1565	
626	𒠸	GU7	GU7			GU₇			1563	
626.1	𒠹	GU7	GU7 VARIANT 1			GU₇~v1			1566	
627	𒠺	GUB3~a	GUB3-A			GUB₃~a			1568	
628	𒠻	GUB3~b	GUB3-B			GUB₃~b			1569	
629	𒠼	GUB3~c	GUB3-C			GUB₃~c			1570	
630	𒠽	GUB3~d	GUB3-D			GUB₃~d			1571	
631	𒠾	GUG2	GUG2			GUG₂			1573	
631.1	𒠿	GUG2	GUG2 VARIANT 1			GUG₂~v1			1580	
632	𒡀	GUG2@t	GUG2 TENU			GUG₂@t			1584	
633	𒡁	GUKKAL~a	GUKKAL-A			GUKKAL~a			1587	
634	𒡂	GUKKAL~b	GUKKAL-B			GUKKAL~b			1589	
635	𒡃	GUKKAL~c	GUKKAL-C			GUKKAL~c			1590	
636	𒡄	GUKKAL~d	GUKKAL-D			GUKKAL~d			1591	
637	𒡅	GUL	GUL			GUL			1592	
638	𒡆	GUM~a	GUM-A			GUM~a			1594	
639	𒡇	GUM~b	GUM-B			GUM~b			1595	
639.1	𒡈	GUM~b	GUM-B VARIANT 1			GUM~b~v1			1596	
640	𒡉	GUM~b@n	GUM-B NUTILLU			GUM~b@n			1597	
640.1	𒡊	GUM~b@n	GUM-B NUTILLU VARIANT 1			GUM~b@n~v1			1598	
641	𒡋	GUN3~a	GUN3-A			GUN₃~a			1602	
642	𒡌	GUN3~b	GUN3-B			GUN₃~b			1603	
643	𒡍	GUR	GUR			GUR			1604	
644	𒡎	GURUSZ~a	GURUSH-A			GURUŠ~a			1607	
644.1	𒡏	GURUSZ~a	GURUSH-A VARIANT 1			GURUŠ~a~v1			1609	
645	𒡐	GURUSZ~b	GURUSH-B			GURUŠ~b			1610	
646	𒡑	GURUSZDA	GURUSHDA			GURUŠDA			1614	
647	𒡒	HAL	HAL			HAL			1616	
648	𒡓	HALUB	HALUB			HALUB			1617	
649	𒡔	HASZHUR	HASHHUR			HAŠHUR			1618	
650	𒡕	HI	HI			HI			1620	
651	𒡖	HI@g~a	HI GUNU-A			HI@g~a			1648	
652	𒡗	HI@g~b	HI GUNU-B			HI@g~b			1649	
653	𒡘	HI@g~c	HI GUNU-C			HI@g~c			1650	
654	𒡙	HUB2	HUB2	remove		HUB₂			1652	
655	𒡚	I	I			I			1654	
656	𒡛	IB~a	IB-A			IB~a			1656	
657	𒡜	IB~a@n	IB-A NUTILLU			IB~a@n			1657	
658	𒡝	IB~b	IB-B			IB~b			1658	
659	𒡞	IDIGNA	IDIGNA			IDIGNA			1661	
659.1	𒡟	IDIGNA	IDIGNA VARIANT 1			IDIGNA~v1			1662	
660	𒡠	IG~a	IG-A			IG~a			1664	
661	𒡡	IG~b	IG-B			IG~b			1665	
662	𒡢	IGI	IGI	remove		IGI			1666	
663	𒡣	IL	IL			IL			1668	
664	𒡤	ILDUM~a	ILDUM-A			ILDUM~a			1670	
665	𒡥	ILDUM~b	ILDUM-B			ILDUM~b			1671	
666	𒡦	IM~a	IM-A			IM~a			1673	
667	𒡧	IM~a@g	IM-A GUNU	remove		IM~a@g			1674	
668	𒡨	IM~b	IM-B			IM~b			1675	
669	𒡩	IN~b	IN-B			IN~b			1679	
669.1	𒡪	IN~b	IN-B VARIANT 1			IN~b~v1			1680	
670	𒡫	IN~d	IN-D			IN~d			1681	
671	𒡬	IR~a	IR-A			IR~a			1684	
672	𒡭	IR~b	IR-B			IR~b			1686	
673	𒡮	IR~c	IR-C			IR~c			1687	
674	𒡯	IR~d	IR-D			IR~d			1688	
675	𒡰	IR11	IR11			IR₁₁			1690	
675.1	𒡱	IR11	IR11 VARIANT 1			IR₁₁~v1			1691	
676	𒡲	IRHAN	IRHAN			IRHAN			1692	
677	𒡳	ISZ~a	ISH-A			IŠ~a			1694	
677.1	𒡴	ISZ~a	ISH-A VARIANT 1			IŠ~a~v1			1695	
678	𒡵	ISZ~b	ISH-B	newglyph	NEW GLYPH=𒡶	IŠ~b		12876	1696	
678.1	𒡶	ISZ~b	ISH-B VARIANT 1	newglyph	NEW GLYPH=𒡵	IŠ~b~v1		12875	1697	
678.2	𒡷	ISZ~b	ISH-B VARIANT 2			IŠ~b~v2			1698	
678.3	𒡸	ISZ~b	ISH-B VARIANT 3			IŠ~b~v3			1699	
678.4	𒡹	ISZ~b	ISH-B VARIANT 4			IŠ~b~v4			1700	
678.5	𒡺	ISZ~b	ISH-B VARIANT 5			IŠ~b~v5			1701	
679	𒡻	ISZ~c	ISH-C			IŠ~c			1702	
680	𒡼	KA~a	KA-A			KA~a			1707	
681	𒡽	KA2~a	KA2-A			KA₂~a			1719	
682	𒡾	KA2~b	KA2-B			KA₂~b			1720	
683	𒡿	KA2~c	KA2-C			KA₂~c			1721	
684	𒢀	KA2~d	KA2-D	remove		KA₂~d			1722	
685	𒢁	KAB	KAB			KAB			1724	
686	𒢂	KAD4~a	KAD4-A			KAD₄~a			1727	
687	𒢃	KAD4~b	KAD4-B			KAD₄~b			1728	
688	𒢄	KAD4~c1	KAD4-C1			KAD₄~c1			1729	
689	𒢅	KAD4~c2	KAD4-C2			KAD₄~c2			1730	
690	𒢆	KAK~a	KAK-A			KAK~a			1733	
691	𒢇	KAK~b	KAK-B			KAK~b			1735	
692	𒢈	KAL~a	KAL-A			KAL~a			1737	
693	𒢉	KAL~b1	KAL-B1			KAL~b1			1738	
693.1	𒢊	KAL~b1	KAL-B1 VARIANT 1			KAL~b1~v1			1739	
694	𒢋	KAL~b2	KAL-B2			KAL~b2			1740	
695	𒢌	KALAM~a	KALAM-A			KALAM~a			1742	
696	𒢍	KALAM~b	KALAM-B			KALAM~b			1743	
697	𒢎	KALAM~c	KALAM-C			KALAM~c			1744	
698	𒢏	KALAM~d	KALAM-D			KALAM~d			1745	
699	𒢐	KALAM~e	KALAM-E			KALAM~e			1746	
700	𒢑	KALAM~f	KALAM-F			KALAM~f			1747	
701	𒢒	KAR	KAR			KAR			1751	
702	𒢓	KAR2~a	KAR2-A			KAR₂~a			1753	
703	𒢔	KAR2~b	KAR2-B			KAR₂~b			1755	
704	𒢕	KASZ~a	KASH-A			KAŠ~a			1761	
704.1	𒢖	KASZ~a	KASH-A VARIANT 1			KAŠ~a~v1			1762	
705	𒢗	KASZ~b	KASH-B			KAŠ~b			1763	
705.1	𒢘	KASZ~b	KASH-B VARIANT 1			KAŠ~b~v1			1765	
706	𒢙	KASZ~b@t	KASH-B TENU			KAŠ~b@t			1767	
707	𒢚	KASZ~c	KASH-C			KAŠ~c			1768	
708	𒢛	KASZ~d	KASH-D			KAŠ~d			1769	
