pcsl	cdli	cdli_fixed_flag	recommendation	encoding_status	unicode_codepoint	unicode_name
|DUG~b×BIR₃~c|	|DUG~bxBIR3~c|	False	keep	proposed	1277B	PROTO-CUNEIFORM SIGN DUG-B TIMES BIR3-C
|DUG~b×DIN|	|DUG~bxDIN|	False	keep	proposed	1277C	PROTO-CUNEIFORM SIGN DUG-B TIMES DIN
|(DUG~b×DIN)@r|	|(DUG~bxDIN)@r|	False	keep	proposed	1277D	PROTO-CUNEIFORM SIGN DUG-B TIMES DIN REVERSED
|DUG~b×E~a|	|DUG~bxE~a|	False	keep	proposed	1277E	PROTO-CUNEIFORM SIGN DUG-B TIMES E-A
|DUG~b×GA~a~v4|	|DUG~bxGA~a|	False	rename	proposed	1277F	PROTO-CUNEIFORM SIGN DUG-B TIMES GA-A VARIANT 4
|DUG~b×GA~b|	|DUG~bxGA~b|	False	keep	proposed	12780	PROTO-CUNEIFORM SIGN DUG-B TIMES GA-B
|DUG~b×GEŠTU~a~v2|	|DUG~bxGESZTU~a|	False	rename	proposed	12781	PROTO-CUNEIFORM SIGN DUG-B TIMES GESHTU-A VARIANT 2
|DUG~b×GEŠTU~b|	|DUG~bxGESZTU~b|	False	keep	proposed	12782	PROTO-CUNEIFORM SIGN DUG-B TIMES GESHTU-B
|DUG~b×GI₆|	|DUG~bxGI6|	False	keep	proposed	12783	PROTO-CUNEIFORM SIGN DUG-B TIMES GI6
|DUG~b×GIŠ|	|DUG~bxGISZ|	False	keep	proposed	12784	PROTO-CUNEIFORM SIGN DUG-B TIMES GISH
|DUG~b×HI|	|DUG~bxHI|	False	keep	proposed	12785	PROTO-CUNEIFORM SIGN DUG-B TIMES HI
|DUG~b×KASKAL|	|DUG~bxKASKAL|	False	keep	proposed	12786	PROTO-CUNEIFORM SIGN DUG-B TIMES KASKAL
|DUG~b×KU₆~a|	|DUG~bxKU6~a|	False	keep	proposed	12787	PROTO-CUNEIFORM SIGN DUG-B TIMES KU6-A
|DUG~b×KUR~a|	|DUG~bxKUR~a|	False	keep	proposed	12788	PROTO-CUNEIFORM SIGN DUG-B TIMES KUR-A
|DUG~b×(KUR~a.X)|	|DUG~bx(KUR~a.X)|	False	rename	proposed	12789	PROTO-CUNEIFORM SIGN DUG-B TIMES KUR-A PLUS X
|DUG~b×KUR~b|	|DUG~bxKUR~b|	False	keep	proposed	1278A	PROTO-CUNEIFORM SIGN DUG-B TIMES KUR-B
|DUG~b×KUR@g~a|	|DUG~bxKUR@g~a|	False	keep	proposed	1278B	PROTO-CUNEIFORM SIGN DUG-B TIMES KUR GUNU-A
|DUG~b×LAM~a|	|DUG~bxLAM~a|	False	keep	proposed	1278C	PROTO-CUNEIFORM SIGN DUG-B TIMES LAM-A
|DUG~b×MAŠ|	|DUG~bxMASZ|	False	keep	proposed	1278D	PROTO-CUNEIFORM SIGN DUG-B TIMES MASH
|DUG~b×NAGA~a|	|DUG~bxNAGA~a|	False	keep	proposed	1278E	PROTO-CUNEIFORM SIGN DUG-B TIMES NAGA-A
|DUG~b×NAM₂|	|DUG~bxNAM2|	False	keep	proposed	1278F	PROTO-CUNEIFORM SIGN DUG-B TIMES NAM2
|DUG~b×(NI~a@g.ZATU779)|	|DUG~bx(NI~a@g.ZATU779)|	False	rename	proposed	12790	PROTO-CUNEIFORM SIGN DUG-B TIMES NI-A GUNU PLUS ZATU779
|DUG~b×SA~a|	|DUG~bxSA~a|	False	keep	proposed	12791	PROTO-CUNEIFORM SIGN DUG-B TIMES SA-A
|DUG~b×SI₄~a|	|DUG~bxSI4~a|	False	keep	proposed	12792	PROTO-CUNEIFORM SIGN DUG-B TIMES SI4-A
|DUG~b×(SI₄~a.X)|	|DUG~bx(SI4~a.X)|	False	rename	proposed	12793	PROTO-CUNEIFORM SIGN DUG-B TIMES SI4-A PLUS X
|DUG~b×SIG₂~a1|	|DUG~bxSIG2~a1|	False	keep	proposed	12794	PROTO-CUNEIFORM SIGN DUG-B TIMES SIG2-A1
|DUG~b×SIG₂~a2|	|DUG~bxSIG2~a2|	False	keep	proposed	12795	PROTO-CUNEIFORM SIGN DUG-B TIMES SIG2-A2
|DUG~b×SIG₇|	|DUG~bxSIG7|	False	keep	proposed	12796	PROTO-CUNEIFORM SIGN DUG-B TIMES SIG7
|DUG~b×SUHUR|	|DUG~bxSUHUR|	False	keep	proposed	12797	PROTO-CUNEIFORM SIGN DUG-B TIMES SUHUR
|DUG~b×ŠAH₂~a|	|DUG~bxSZAH2~a|	False	keep	proposed	12798	PROTO-CUNEIFORM SIGN DUG-B TIMES SHAH2-A
|DUG~b×ŠE~a|	|DUG~bxSZE~a|	False	keep	proposed	12799	PROTO-CUNEIFORM SIGN DUG-B TIMES SHE-A
|DUG~b×(ŠE~a.NAM₂)|	|DUG~bx(SZE~a.NAM2)|	False	rename	proposed	1279A	PROTO-CUNEIFORM SIGN DUG-B TIMES SHE-A PLUS NAM2
|DUG~b×TAK₄~a|	|DUG~bxTAK4~a|	False	keep	proposed	1279B	PROTO-CUNEIFORM SIGN DUG-B TIMES TAK4-A
|DUG~b×(TAK₄~a.SA~a)|	|DUG~bx(TAK4~a.SA~a)|	False	rename	proposed	1279C	PROTO-CUNEIFORM SIGN DUG-B TIMES TAK4-A PLUS SA-A
|DUG~b×(TAK₄~a.SAL)|	|DUG~bx(TAK4~a.SAL)|	False	rename	proposed	1279D	PROTO-CUNEIFORM SIGN DUG-B TIMES TAK4-A PLUS SAL
|DUG~b×TI|	|DUG~bxTI|	False	keep	proposed	1279E	PROTO-CUNEIFORM SIGN DUG-B TIMES TI
|DUG~b×U₂~a|	|DUG~bxU2~a|	False	keep	proposed	1279F	PROTO-CUNEIFORM SIGN DUG-B TIMES U2-A
|DUG~b×U₂~b|			add	proposed	127A0	PROTO-CUNEIFORM SIGN DUG-B TIMES U2-B
|DUG~b×UH₃~a|	|DUG~bxUH3~a|	False	keep	proposed	127A1	PROTO-CUNEIFORM SIGN DUG-B TIMES UH3-A
|DUG~b×UH₃~a@t|	|DUG~bxUH3~a@t|	False	keep	proposed	127A2	PROTO-CUNEIFORM SIGN DUG-B TIMES UH3-A TENU
|DUG~b×X|	|DUG~bxX|	False	keep	proposed	127A3	PROTO-CUNEIFORM SIGN DUG-B TIMES X
|DUG~b×ZATU707~a|	|DUG~bxZATU707~a|	False	keep	proposed	127A4	PROTO-CUNEIFORM SIGN DUG-B TIMES ZATU707-A
|DUG~b×ZATU764|	|DUG~bxZATU764|	False	keep	proposed	127A5	PROTO-CUNEIFORM SIGN DUG-B TIMES ZATU764
|DUG~b×ZATU779|	|DUG~bxZATU779|	False	keep	proposed	127A6	PROTO-CUNEIFORM SIGN DUG-B TIMES ZATU779
|DUG~b×ZATU780|	|DUG~bxZATU780|	False	keep	proposed	127A7	PROTO-CUNEIFORM SIGN DUG-B TIMES ZATU780
|DUG~b×ZATU781|	|DUG~bxZATU781|	False	keep	proposed	127A8	PROTO-CUNEIFORM SIGN DUG-B TIMES ZATU781
|DUG~b×(ZATU789.SA~a)|	|DUG~bx(ZATU789.SA~a)|	False	rename	proposed	127A9	PROTO-CUNEIFORM SIGN DUG-B TIMES ZATU789 PLUS SA-A
|DUG~b×1(N57)|	|DUG~bx1(N57)|	False	keep	proposed	127AA	PROTO-CUNEIFORM SIGN DUG-B TIMES ONE-N57
|DUG~b×(1(N57).KU₃~a)|	|DUG~bx(1(N57).KU3~a)|	False	rename	proposed	127AB	PROTO-CUNEIFORM SIGN DUG-B TIMES ONE-N57 PLUS KU3-A
|DUG~b×3(N57)|	|DUG~bx3(N57)|	False	keep	proposed	127AC	PROTO-CUNEIFORM SIGN DUG-B TIMES THREE-N57
DUG~b~v1	DUG~b	False	keep	proposed	127AD	PROTO-CUNEIFORM SIGN DUG-B VARIANT 1
|DUG~b~v1×AB₂|	|DUG~bxAB2|	False	rename	proposed	127AE	PROTO-CUNEIFORM SIGN DUG-B VARIANT 1 TIMES AB2
|DUG~b~v1×DIN|	|DUG~bxDIN|	False	rename	proposed	127AF	PROTO-CUNEIFORM SIGN DUG-B VARIANT 1 TIMES DIN
|DUG~b~v1×GEŠTU~a~v2|	|DUG~bxGESZTU~a|	False	rename	proposed	127B0	PROTO-CUNEIFORM SIGN DUG-B VARIANT 1 TIMES GESHTU-A VARIANT 2
|DUG~b~v1×HI|	|DUG~bxHI|	False	rename	proposed	127B1	PROTO-CUNEIFORM SIGN DUG-B VARIANT 1 TIMES HI
|DUG~b~v1×HI@g~a|	|DUG~bxHI@g~a|	False	rename	proposed	127B2	PROTO-CUNEIFORM SIGN DUG-B VARIANT 1 TIMES HI GUNU-A
|DUG~b~v1×MAŠ|	|DUG~bxMASZ|	False	rename	proposed	127B3	PROTO-CUNEIFORM SIGN DUG-B VARIANT 1 TIMES MASH
|DUG~b~v1×ŠE~a|	|DUG~bxSZE~a|	False	rename	proposed	127B4	PROTO-CUNEIFORM SIGN DUG-B VARIANT 1 TIMES SHE-A
|DUG~b~v1×ŠE~a@t|	|DUG~bxSZE~a|	False	rename	proposed	127B5	PROTO-CUNEIFORM SIGN DUG-B VARIANT 1 TIMES SHE-A TENU
|DUG~b~v1×U₂~b|	|DUG~bxU2~b|	False	keep	proposed	127B6	PROTO-CUNEIFORM SIGN DUG-B VARIANT 1 TIMES U2-B
|DUG~b~v1×X|	|DUG~bxX|	False	rename	proposed	127B7	PROTO-CUNEIFORM SIGN DUG-B VARIANT 1 TIMES X
|DUG~b~v1×1(N57)|	|DUG~bx1(N57)|	False	rename	proposed	127B8	PROTO-CUNEIFORM SIGN DUG-B VARIANT 1 TIMES ONE-N57
|(DUG~b~v1&DUG~b~v1)×1(N58)|	|(DUG~b&DUG~b)x1(N58)|	False	rename	proposed	127B9	PROTO-CUNEIFORM SIGN DUG-B VARIANT 1 OVER DUG-B VARIANT 1 TIMES ONE-N58
|DUG~b~v2×U₂~b|	|DUG~bxU2~b|	False	keep	proposed	127BA	PROTO-CUNEIFORM SIGN DUG-B VARIANT 2 TIMES U2-B
DUG~c@t	DUG~c@t	False	keep	proposed	127BB	PROTO-CUNEIFORM SIGN DUG-C TENU
DUG~c~v1	DUG~c	False	keep	proposed	127BC	PROTO-CUNEIFORM SIGN DUG-C VARIANT 1
|DUG~c~v1×1(N57)|	|DUG~cx1(N57)|	False	keep	proposed	127BD	PROTO-CUNEIFORM SIGN DUG-C VARIANT 1 TIMES ONE-N57
|DUG~c~v2×1(N57)|	|DUG~cx1(N57)|	False	rename	proposed	127BE	PROTO-CUNEIFORM SIGN DUG-C VARIANT 2 TIMES ONE-N57
DUG~c~v3	DUG~c	False	keep	proposed	127BF	PROTO-CUNEIFORM SIGN DUG-C VARIANT 3
|DUG~c~v3×1(N57)|	|DUG~cx1(N57)|	False	rename	proposed	127C0	PROTO-CUNEIFORM SIGN DUG-C VARIANT 3 TIMES ONE-N57
DUG~c2@t			add	proposed	127C1	PROTO-CUNEIFORM SIGN DUG-C2 TENU
DUG~d	DUG~d	False	delete	not_proposed		
DUGUD	DUGUD	False	keep	proposed	127C2	PROTO-CUNEIFORM SIGN DUGUD
DUR~a	DUR~a	False	keep	proposed	127C3	PROTO-CUNEIFORM SIGN DUR-A
DUR~b	DUR~b	False	keep	proposed	127C4	PROTO-CUNEIFORM SIGN DUR-B
DUR₂	DUR2	False	keep	proposed	127C5	PROTO-CUNEIFORM SIGN DUR2
E~a	E~a	False	keep	proposed	127C6	PROTO-CUNEIFORM SIGN E-A
E~b	E~b	False	keep	proposed	127C7	PROTO-CUNEIFORM SIGN E-B
E~c	E~c	False	keep	proposed	127C8	PROTO-CUNEIFORM SIGN E-C
E~d	E~d	False	keep	proposed	127C9	PROTO-CUNEIFORM SIGN E-D
E~e	E~e	False	remove	not_proposed		
E₂~a	E2~a	False	keep	proposed	127CA	PROTO-CUNEIFORM SIGN E2-A
|E₂~a.LIŠ|	|E2~a.LISZ|	False	keep	proposed	127CB	PROTO-CUNEIFORM SIGN E2-A BESIDE LISH
|E₂~a×3(N58)|	|E2~ax3(N58)|	False	keep	proposed	127CC	PROTO-CUNEIFORM SIGN E2-A TIMES THREE-N58
|E₂~a×1(N58@t)|	|E2~ax1(N57)@t|	True	keep	proposed	127CD	PROTO-CUNEIFORM SIGN E2-A TIMES ONE-N58 TENU
E₂~b	E2~b	False	keep	proposed	127CE	PROTO-CUNEIFORM SIGN E2-B
|E₂~b.LIŠ|	|E2~b.LISZ|	False	keep	proposed	127CF	PROTO-CUNEIFORM SIGN E2-B BESIDE LISH
|E₂~b×1(N58@t)|	|E2~bx1(N57)@t|	True	rename	proposed	127D0	PROTO-CUNEIFORM SIGN E2-B TIMES ONE-N58 TENU
E₂~c	E2~c	False	keep	proposed	127D1	PROTO-CUNEIFORM SIGN E2-C
E₂~d	E2~d	False	keep	proposed	127D2	PROTO-CUNEIFORM SIGN E2-D
E₃~a	E3~a	False	keep	proposed	127D3	PROTO-CUNEIFORM SIGN E3-A
E₃~b	E3~b	False	keep	proposed	127D4	PROTO-CUNEIFORM SIGN E3-B
EDIN	EDIN	False	keep	proposed	127D5	PROTO-CUNEIFORM SIGN EDIN
EN~a	EN~a	False	keep	proposed	127D6	PROTO-CUNEIFORM SIGN EN-A
EN~a~v1	EN~a	False	keep	proposed	127D7	PROTO-CUNEIFORM SIGN EN-A VARIANT 1
EN~a~v2	EN~a	False	keep	proposed	127D8	PROTO-CUNEIFORM SIGN EN-A VARIANT 2
EN~a~v3	EN~a	False	keep	proposed	127D9	PROTO-CUNEIFORM SIGN EN-A VARIANT 3
EN~b	EN~b	False	keep	proposed	127DA	PROTO-CUNEIFORM SIGN EN-B
EN~b@t	EN~b@t	False	keep	proposed	127DB	PROTO-CUNEIFORM SIGN EN-B TENU
EN~b~v1	EN~b	False	keep	proposed	127DC	PROTO-CUNEIFORM SIGN EN-B VARIANT 1
EN~c	EN~c	False	keep	proposed	127DD	PROTO-CUNEIFORM SIGN EN-C
|EN~c&EN~c|	|EN~c&EN~c|	False	keep	proposed	127DE	PROTO-CUNEIFORM SIGN EN-C OVER EN-C
EN~c~v1	EN~c	False	keep	proposed	127DF	PROTO-CUNEIFORM SIGN EN-C VARIANT 1
EN~e	EN~e	False	keep	proposed	127E0	PROTO-CUNEIFORM SIGN EN-E
EN@g~a	EN@g~a	False	keep	proposed	127E1	PROTO-CUNEIFORM SIGN EN GUNU-A
EN@g~b	EN@g~b	False	keep	proposed	127E2	PROTO-CUNEIFORM SIGN EN GUNU-B
EN₂	EN2	False	keep	proposed	127E3	PROTO-CUNEIFORM SIGN EN2
|EN₂.E₂~a|	|EN2.E2~a|	False	keep	proposed	127E4	PROTO-CUNEIFORM SIGN EN2 BESIDE E2-A
|EN₂.E₂~b|	|EN2.E2~b|	False	keep	proposed	127E5	PROTO-CUNEIFORM SIGN EN2 BESIDE E2-B
ENDIB	ENDIB	False	keep	proposed	127E6	PROTO-CUNEIFORM SIGN ENDIB
ENGIZ	ENGIZ	False	keep	proposed	127E7	PROTO-CUNEIFORM SIGN ENGIZ
ENKUM	ENKUM	False	keep	proposed	127E8	PROTO-CUNEIFORM SIGN ENKUM
ENKUM~v1	ENKUM	False	keep	proposed	127E9	PROTO-CUNEIFORM SIGN ENKUM VARIANT 1
ENLIL	ENLIL	False	keep	proposed	127EA	PROTO-CUNEIFORM SIGN ENLIL
ENSI	ENSI	False	remove	not_proposed		
ENSI₂	ENSI2	False	remove	not_proposed		
ERIM~a	ERIM~a	False	keep	proposed	127EB	PROTO-CUNEIFORM SIGN ERIM-A
ERIM~b1	ERIM~b1	False	keep	proposed	127EC	PROTO-CUNEIFORM SIGN ERIM-B1
ERIM~b2	ERIM~b2	False	keep	proposed	127ED	PROTO-CUNEIFORM SIGN ERIM-B2
ERIM₂	ERIM2	False	keep	proposed	127EE	PROTO-CUNEIFORM SIGN ERIM2
ERIN	ERIN	False	keep	proposed	127EF	PROTO-CUNEIFORM SIGN ERIN
EŠDA	ESZDA	False	keep	proposed	127F0	PROTO-CUNEIFORM SIGN ESHDA
|EŠDA×TAR~a|	|ESZDAxTAR|	False	rename	proposed	127F1	PROTO-CUNEIFORM SIGN ESHDA TIMES TAR-A
EŠGAR	ESZGAR	False	keep	proposed	127F2	PROTO-CUNEIFORM SIGN ESHGAR
EZEN~a	EZEN~a	False	keep	proposed	127F3	PROTO-CUNEIFORM SIGN EZEN-A
|EZEN~a×EN~b~v1|	|EZEN~axEN~b|	False	rename	proposed	127F4	PROTO-CUNEIFORM SIGN EZEN-A TIMES EN-B VARIANT 1
|EZEN~a×(HI×1(N57).AN)|	|EZEN~ax(HI.1(N57).AN)|	True	rename	proposed	127F5	PROTO-CUNEIFORM SIGN EZEN-A TIMES HI TIMES ONE-N57 PLUS AN
|EZEN~a×KAB|	|EZEN~axKAB|	False	keep	proposed	127F6	PROTO-CUNEIFORM SIGN EZEN-A TIMES KAB
|EZEN~a×KI|	|EZEN~axKI|	False	keep	proposed	127F7	PROTO-CUNEIFORM SIGN EZEN-A TIMES KI
|EZEN~a×LA~e|	|EZEN~axLA~e|	False	remove	not_proposed		
|EZEN~a×LA~e|~v1	|EZEN~axLA~e|	False	keep	proposed	127F8	PROTO-CUNEIFORM SIGN EZEN-A TIMES LA-E VARIANT 1
|EZEN~a×NIM~b2|	|EZEN~axNIM~b2|	False	keep	proposed	127F9	PROTO-CUNEIFORM SIGN EZEN-A TIMES NIM-B2
|EZEN~a×NIMGIR|	|EZEN~axNIMGIR|	False	keep	proposed	127FA	PROTO-CUNEIFORM SIGN EZEN-A TIMES NIMGIR
|EZEN~a×RAD~a|	|EZEN~axRAD~a|	False	keep	proposed	127FB	PROTO-CUNEIFORM SIGN EZEN-A TIMES RAD-A
|EZEN~a×SAG~v1|	|EZEN~axSAG|	False	rename	proposed	127FC	PROTO-CUNEIFORM SIGN EZEN-A TIMES SAG VARIANT 1
|EZEN~a×SU~a|	|EZEN~axSU~a|	False	keep	proposed	127FD	PROTO-CUNEIFORM SIGN EZEN-A TIMES SU-A
|EZEN~a×(U₂~b.A)|	|EZEN~ax(U2~b.A)|	False	rename	proposed	127FE	PROTO-CUNEIFORM SIGN EZEN-A TIMES U2-B PLUS A
|EZEN~a×U₄|	|EZEN~axU4|	False	keep	proposed	127FF	PROTO-CUNEIFORM SIGN EZEN-A TIMES U4
|EZEN~a×X|	|EZEN~axX|	False	keep	proposed	12800	PROTO-CUNEIFORM SIGN EZEN-A TIMES X
EZEN~a~v1	EZEN~a	False	keep	proposed	12801	PROTO-CUNEIFORM SIGN EZEN-A VARIANT 1
|EZEN~a~v1×EN~a|	|EZEN~axEN~a|	False	rename	proposed	12802	PROTO-CUNEIFORM SIGN EZEN-A VARIANT 1 TIMES EN-A
EZEN~b	EZEN~b	False	keep	proposed	12803	PROTO-CUNEIFORM SIGN EZEN-B
|EZEN~b×6(N57)|	|EZEN~bx6(N57)|	False	remove	not_proposed		
|EZEN~b×6(N57)|~v1	|EZEN~bx6(N57)|	False	newglyph	proposed	12804	PROTO-CUNEIFORM SIGN EZEN-B TIMES SIX-N57 VARIANT 1
EZEN~b@t	EZEN~b@t	False	keep	proposed	12805	PROTO-CUNEIFORM SIGN EZEN-B TENU
EZEN~c	EZEN~c	False	delete	not_proposed		
EZINU~a	EZINU~a	False	keep	proposed	12806	PROTO-CUNEIFORM SIGN EZINU-A
EZINU~b	EZINU~b	False	keep	proposed	12807	PROTO-CUNEIFORM SIGN EZINU-B
EZINU~c	EZINU~c	False	keep	proposed	12808	PROTO-CUNEIFORM SIGN EZINU-C
EZINU~d	EZINU~d	False	keep	proposed	12809	PROTO-CUNEIFORM SIGN EZINU-D
GA~a	GA~a	False	keep	proposed	1280A	PROTO-CUNEIFORM SIGN GA-A
GA~a~v1	GA~a	False	keep	proposed	1280B	PROTO-CUNEIFORM SIGN GA-A VARIANT 1
|GA~a~v1.ZATU753|	|GA~a.ZATU753|	False	rename	proposed	1280C	PROTO-CUNEIFORM SIGN GA-A VARIANT 1 BESIDE ZATU753
GA~a~v2	GA~a	False	keep	proposed	1280D	PROTO-CUNEIFORM SIGN GA-A VARIANT 2
GA~a~v3	GA~a	False	keep	proposed	1280E	PROTO-CUNEIFORM SIGN GA-A VARIANT 3
GA~a~v4	GA~a	False	keep	proposed	1280F	PROTO-CUNEIFORM SIGN GA-A VARIANT 4
|GA~a~v4.ZATU753|~v1	|GA~a.ZATU753|	False	rename	proposed	12810	PROTO-CUNEIFORM SIGN GA-A VARIANT 4 BESIDE ZATU753 VARIANT 1
|GA~a~v4×X|	|GA~axX|	False	remove	not_proposed		
GA~b	GA~b	False	keep	proposed	12811	PROTO-CUNEIFORM SIGN GA-B
GA~c	GA~c	False	keep	proposed	12812	PROTO-CUNEIFORM SIGN GA-C
|GA~c×KASKAL|	|GA~cxKASKAL|	False	keep	proposed	12813	PROTO-CUNEIFORM SIGN GA-C TIMES KASKAL
|GA~c×1(N14)|	|GA~cx1(N14)|	False	keep	proposed	12814	PROTO-CUNEIFORM SIGN GA-C TIMES ONE-N14
GA₂~a1	GA2~a1	False	keep	proposed	12815	PROTO-CUNEIFORM SIGN GA2-A1
|GA₂~a1×A|	|GA2~a1xA|	False	keep	proposed	12816	PROTO-CUNEIFORM SIGN GA2-A1 TIMES A
|GA₂~a1×EN~b~v1|	|GA2~a1xEN~b|	False	rename	proposed	12817	PROTO-CUNEIFORM SIGN GA2-A1 TIMES EN-B VARIANT 1
|GA₂~a1×GEŠTU~c3|	|GA2~a1xGESZTU~c3|	False	keep	proposed	12818	PROTO-CUNEIFORM SIGN GA2-A1 TIMES GESHTU-C3
|GA₂~a1×GEŠTU~c5|	|GA2~a1xGESZTU~c5|	False	keep	proposed	12819	PROTO-CUNEIFORM SIGN GA2-A1 TIMES GESHTU-C5
|GA₂~a1×GIR~a|	|GA2~a1xGIR~a|	False	keep	proposed	1281A	PROTO-CUNEIFORM SIGN GA2-A1 TIMES GIR-A
|GA₂~a1×(GIR~a.KU₆~a)|	|GA2~a1x(GIR~a.KU6~a)|	False	rename	proposed	1281B	PROTO-CUNEIFORM SIGN GA2-A1 TIMES GIR-A PLUS KU6-A
|GA₂~a1×GIŠ@t|	|GA2~a1xGISZ@t|	False	keep	proposed	1281C	PROTO-CUNEIFORM SIGN GA2-A1 TIMES GISH TENU
|GA₂~a1×GU₄|	|GA2~a1xGU4|	False	remove	not_proposed		
|GA₂~a1×HAL|	|GA2~a1xHAL|	False	keep	proposed	1281D	PROTO-CUNEIFORM SIGN GA2-A1 TIMES HAL
|GA₂~a1×HI|	|GA2~a1xHI|	False	keep	proposed	1281E	PROTO-CUNEIFORM SIGN GA2-A1 TIMES HI
|GA₂~a1×(HI.SUHUR~v1)|	|GA2~a1x(HI.SUHUR)|	False	rename	proposed	1281F	PROTO-CUNEIFORM SIGN GA2-A1 TIMES HI PLUS SUHUR VARIANT 1
|GA₂~a1×KU₃~a|	|GA2~a1xKU3~a|	False	keep	proposed	12820	PROTO-CUNEIFORM SIGN GA2-A1 TIMES KU3-A
|GA₂~a1×KU₆~a|	|GA2~a1xKU6~a|	False	keep	proposed	12821	PROTO-CUNEIFORM SIGN GA2-A1 TIMES KU6-A
|GA₂~a1×(KU₆~a.KU₆~a)|	|GA2~a1x(KU6~a.KU6~a)|	False	rename	proposed	12822	PROTO-CUNEIFORM SIGN GA2-A1 TIMES KU6-A PLUS KU6-A
|GA₂~a1×LAGAB~b|	|GA2~a1xLAGAB~b|	False	keep	proposed	12823	PROTO-CUNEIFORM SIGN GA2-A1 TIMES LAGAB-B
|GA₂~a1×MAŠ|	|GA2~a1xMASZ|	False	keep	proposed	12824	PROTO-CUNEIFORM SIGN GA2-A1 TIMES MASH
|GA₂~a1×NAGA~a|	|GA2~a1xNAGA~a|	False	keep	proposed	12825	PROTO-CUNEIFORM SIGN GA2-A1 TIMES NAGA-A
|GA₂~a1×NIM~b1|	|GA2~a2xNIM~b1|	True	keep	proposed	12826	PROTO-CUNEIFORM SIGN GA2-A1 TIMES NIM-B1
|GA₂~a1×NUN~a|	|GA2~a1xNUN~a|	False	remove	not_proposed		
|GA₂~a1×PAD~b|	|GA2~a1xPAD~b|	False	keep	proposed	12827	PROTO-CUNEIFORM SIGN GA2-A1 TIMES PAD-B
|GA₂~a1×PAP~a|	|GA2~a1xPAP~a|	False	keep	proposed	12828	PROTO-CUNEIFORM SIGN GA2-A1 TIMES PAP-A
|GA₂~a1×SU~a|	|GA2~a1xSU~a|	False	keep	proposed	12829	PROTO-CUNEIFORM SIGN GA2-A1 TIMES SU-A
|GA₂~a1×SUHUR|	|GA2~a1xSUHUR|	False	keep	proposed	1282A	PROTO-CUNEIFORM SIGN GA2-A1 TIMES SUHUR
|GA₂~a1×SUKUD|	|GA2~a1xSUKUD|	False	keep	proposed	1282B	PROTO-CUNEIFORM SIGN GA2-A1 TIMES SUKUD
|GA₂~a1×((SUKUD+SUKUD)~a)|	|GA2~a1x((SUKUD&SUKUD)~a)|	True	keep	proposed	1282C	PROTO-CUNEIFORM SIGN GA2-A1 TIMES SUKUD JOINING SUKUD FORM A
|GA₂~a1×((SUKUD+SUKUD)~b)|	|GA2~a1x((SUKUD&SUKUD)~b)|	True	keep	proposed	1282D	PROTO-CUNEIFORM SIGN GA2-A1 TIMES SUKUD JOINING SUKUD FORM B
|GA₂~a1×SUMAŠ|	|GA2~a1xSUMASZ|	False	keep	proposed	1282E	PROTO-CUNEIFORM SIGN GA2-A1 TIMES SUMASH
|GA₂~a1×ŠA|	|GA2~a1xSZA|	False	keep	proposed	1282F	PROTO-CUNEIFORM SIGN GA2-A1 TIMES SHA
|GA₂~a1×TI|	|GA2~a1xTI|	False	keep	proposed	12830	PROTO-CUNEIFORM SIGN GA2-A1 TIMES TI
|GA₂~a1×U₄|	|GA2~a1xU4|	False	keep	proposed	12831	PROTO-CUNEIFORM SIGN GA2-A1 TIMES U4
|GA₂~a1×X|	|GA2~a1xX|	False	keep	proposed	12832	PROTO-CUNEIFORM SIGN GA2-A1 TIMES X
|GA₂~a1×1(N14)|	|GA2~a1x1(N14)|	False	keep	proposed	12833	PROTO-CUNEIFORM SIGN GA2-A1 TIMES ONE-N14
|GA₂~a1×1(N57)|	|GA2~a1x1(N57)|	False	keep	proposed	12834	PROTO-CUNEIFORM SIGN GA2-A1 TIMES ONE-N57
|GA₂~a1×3(N57)|	|GA2~a2x3(N57)|	True	keep	proposed	12835	PROTO-CUNEIFORM SIGN GA2-A1 TIMES THREE-N57
GA₂~a2	GA2~a2	False	keep	proposed	12836	PROTO-CUNEIFORM SIGN GA2-A2
|GA₂~a2×GU₄|	|GA2~a2xGU4|	False	keep	proposed	12837	PROTO-CUNEIFORM SIGN GA2-A2 TIMES GU4
|GA₂~a2×NI~a|	|GA2~a2xNI~a|	False	keep	proposed	12838	PROTO-CUNEIFORM SIGN GA2-A2 TIMES NI-A
|GA₂~a2×NI~b|	|GA2~a2xNI~b|	False	keep	proposed	12839	PROTO-CUNEIFORM SIGN GA2-A2 TIMES NI-B
|GA₂~a2×SUHUR|	|GA2~a2xSUHUR|	False	keep	proposed	1283A	PROTO-CUNEIFORM SIGN GA2-A2 TIMES SUHUR
|GA₂~a2×ŠE₃~v1|	|GA2~a2xSZE3|	False	rename	proposed	1283B	PROTO-CUNEIFORM SIGN GA2-A2 TIMES SHE3 VARIANT 1
|GA₂~a2×(ŠE₃~v1.GU₄)|	|GA2~a2x(GU4.SZE3)|	True	rename	proposed	1283C	PROTO-CUNEIFORM SIGN GA2-A2 TIMES SHE3 VARIANT 1 PLUS GU4
|GA₂~a2×X|	|GA2~a2xX|	False	keep	proposed	1283D	PROTO-CUNEIFORM SIGN GA2-A2 TIMES X
GA₂~a3	GA2~a3	False	keep	proposed	1283E	PROTO-CUNEIFORM SIGN GA2-A3
